[00:00:08.389 --> 00:00:12.791]  Waging war on corruption.
[00:00:12.791 --> 00:00:18.433]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:20.715 --> 00:00:22.556]  We're live, ladies and gentlemen.
[00:00:22.556 --> 00:00:24.678]  It is Friday, the 23rd day of July 2010.
[00:00:24.678 --> 00:00:30.324]  For the next 30 minutes, we have an exclusive interview with Governor Jesse Ventura.
[00:00:30.324 --> 00:00:37.130]  Of course, with his hit TV show now going into its second season, they're producing Conspiracy Theory with Jesse Ventura.
[00:00:37.130 --> 00:00:38.711]  He has had trouble all over the country.
[00:00:39.672 --> 00:00:49.779]  Most of this we can't talk about because it's the TV show, but now the harassment, the Homeland Security surveillance has gotten so bad that the governor wants to talk about this pattern here today.
[00:00:49.779 --> 00:00:54.162]  And we're very honored that he contacted us yesterday to give us this exclusive.
[00:00:54.162 --> 00:00:57.705]  I'm also playing my own part in the show as a consultant.
[00:00:57.705 --> 00:01:04.950]  But the headline at InfoWars.com by Curt Nemo, exclusive, Jesse Ventura talks with Alex Jones about government harassment of his TV show.
[00:01:04.950 --> 00:01:06.731]  And it is really intensifying.
[00:01:06.731 --> 00:01:07.972]  Governor, thank you for joining us.
[00:01:08.112 --> 00:01:09.673]  Hi Alex, great to be here.
[00:01:09.673 --> 00:01:16.236]  And again, I come on the air with you, Alex, just to inform the public out there of exactly what's going on with our U.S.
[00:01:16.236 --> 00:01:17.416]  government, it seems.
[00:01:17.416 --> 00:01:20.018]  Well, we appreciate you coming here first, sir.
[00:01:20.018 --> 00:01:25.460]  Well, you know, ABC or NBC or none of them are going to air what I'm going to talk about.
[00:01:25.460 --> 00:01:26.541]  You can bet on that.
[00:01:26.541 --> 00:01:28.782]  And I know that this is a place where freedom speaks.
[00:01:29.893 --> 00:01:34.195]  Have you had a chance to see the ABC News story that tries to make a joke about the harassment?
[00:01:34.195 --> 00:01:38.198]  It says Jesse Ventura brings his conspiracy theories to the Capitol.
[00:01:38.198 --> 00:01:43.721]  No, I didn't look at it, but you know what they always say in the entertainment world, any publicity is good.
[00:01:43.721 --> 00:01:45.922]  Absolutely, as long as they get your name right.
[00:01:45.922 --> 00:01:51.365]  Governor, break down the latest or the history of this, wherever you'd like to start.
