[00:00:10.126 --> 00:00:11.687]  This is our land.
[00:00:11.687 --> 00:00:18.072]  These are our people.
[00:00:18.072 --> 00:00:19.993]  The workers.
[00:00:19.993 --> 00:00:21.935]  The strivers.
[00:00:21.935 --> 00:00:22.655]  The builders.
[00:00:22.655 --> 00:00:23.996]  These are our people.
[00:00:23.996 --> 00:00:24.757]  Who are they?
[00:00:31.377 --> 00:00:34.218]  They are the dark armies.
[00:00:34.218 --> 00:00:38.239]  The dark murdering armies whose only honor is atrocity.
[00:00:38.239 --> 00:00:39.039]  The answer to 1984 is 1776.
[00:00:39.039 --> 00:00:40.980]  You're listening to the Alex Jones Show.
[00:01:01.721 --> 00:01:03.302]  Welcome, my friends, welcome.
[00:01:03.302 --> 00:01:10.449]  It is August 3rd, 2010 on this live Tuesday edition.
[00:01:10.449 --> 00:01:13.612]  We're going to be live here for the next three hours.
[00:01:13.612 --> 00:01:21.359]  Dr. Russell Blaylock, top brain surgeon, neurologist, will be joining us coming up in 30 minutes.
[00:01:21.359 --> 00:01:24.722]  And it's a perfect day to have him on because
[00:01:25.703 --> 00:01:42.917]  I have had a very serious epiphany or awakening in the last 48 hours, just a further understanding of how right we've been all along in our analysis and reverse engineering of the scientific dictatorship.
[00:01:44.653 --> 00:01:50.915]  There is now a complete coming out by the bioethicist, by the eugenicist.
[00:01:50.915 --> 00:01:53.917]  They're openly announcing global one-child policies.
[00:01:53.917 --> 00:01:57.638]  They're openly admitting they plan to sterilize the population.
[00:01:57.638 --> 00:02:01.380]  They're openly announcing forced inoculations.
[00:02:01.380 --> 00:02:05.181]  And they shouldn't even be called inoculations.
[00:02:05.181 --> 00:02:09.203]  They are genetic re-engineering compounds.
[00:02:10.183 --> 00:02:24.806]  Live viruses that attack the brain, and that's just one family of these, and the Pentagon is announcing they are going to inject the troops with these as if they're unwitting guinea pigs.
[00:02:24.806 --> 00:02:27.286]  This is so incredible.
[00:02:27.286 --> 00:02:36.648]  The New York Times, Time Magazine, the British Journal of Psychiatry, the Huffington Post, Wired Magazine,
[00:02:38.484 --> 00:02:52.708]  And countless other publications in the last week have simultaneously come out with straight faces and said, we're going to inject you with live viruses to where you won't be depressed anymore.
[00:02:52.708 --> 00:02:57.009]  And they say it cognitively enhances you.
[00:02:57.009 --> 00:02:59.669]  They say lithium in the water will cognitively enhance you.
[00:02:59.669 --> 00:03:05.791]  It lowers IQ, is toxic, makes you servile, it's an antipsychotic, very toxic metal.
[00:03:06.872 --> 00:03:14.734]  But they call that cognitive enhancement, just like the national CBS news pieces about how mercury cognitively enhances children.
[00:03:14.734 --> 00:03:25.316]  So with a straight face, they're coming out and saying, we're going to forcibly drug your water and forcibly inject you with live genetically altered viruses.
[00:03:25.316 --> 00:03:35.038]  And this one particular article out of the Mail newspaper, it reports, and Stanford Research Institute's behind it and others, and the Pentagon's funding it,
[00:03:36.323 --> 00:03:46.046]  A virus that goes in and goes into the receptor sites for anger and for determination, basically self-preservation.
[00:03:46.046 --> 00:03:48.926]  It admits this and wipes them out.
[00:03:48.926 --> 00:03:59.489]  The viruses literally replicate and destroy or eat these nerve endings in your neurons.
[00:03:59.489 --> 00:04:01.830]  And they're just reporting it totally calmly.
[00:04:03.137 --> 00:04:06.062]  And they're reporting, we are going to drug your water supply.
[00:04:06.062 --> 00:04:07.244]  Now here's the news flash.
[00:04:07.244 --> 00:04:09.467]  They're already drugging the water supply.
[00:04:09.467 --> 00:04:16.159]  They're already genetically engineering crops in every major study to reduce fertility and cause organ failure and cancer.
[00:04:17.981 --> 00:04:35.054]  They picked of thousands of plastic formulas in the last 50 years, bisphenol A to wrap all of your foods, to contain all of your liquids, juice, milk, baby formula, that annihilates the normal genetic operations.
[00:04:35.054 --> 00:04:37.916]  This is all admitted.
[00:04:37.916 --> 00:04:38.897]  What's incredible is,
[00:04:40.014 --> 00:04:42.417]  We've got evidence they're already adding this to vaccines.
[00:04:42.417 --> 00:04:50.665]  Much of the public can't get upset and can't motivate themselves for self-preservation because they've already been lobotomized.
[00:04:50.665 --> 00:04:53.068]  Yes, this is really going on.
[00:04:53.068 --> 00:04:53.208]  It's 100%.
[00:04:55.188 --> 00:04:58.831]  And they're coming to try to forcibly inject you, but it gets worse.
[00:04:58.831 --> 00:04:59.412]  It gets worse.
[00:04:59.412 --> 00:05:01.093]  Stay with us.
[00:05:01.093 --> 00:05:05.177]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[00:05:05.177 --> 00:05:11.162]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[00:05:11.162 --> 00:05:15.345]  Go to HomeGain.com and see what I'm talking about.
[00:05:15.345 --> 00:05:21.671]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[00:05:22.051 --> 00:05:25.372]  This is a great way to be able to monitor the value of your home.
[00:05:25.372 --> 00:05:27.472]  And again, it's absolutely free.
[00:05:27.472 --> 00:05:29.513]  There are tons of tools to help you.
[00:05:29.513 --> 00:05:33.294]  For instance, if you want to remodel your home, go to HomeGain.com.
[00:05:33.294 --> 00:05:40.096]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[00:05:40.096 --> 00:05:43.657]  For 10 years, these folks have been helping home sellers and buyers.
[00:05:43.657 --> 00:05:46.017]  Visit their link at InfoWars.com.
[00:05:46.017 --> 00:05:49.238]  Look for Max, the Orange Home Gain Gorilla to help you
[00:05:49.318 --> 00:05:49.718]  We're good to go.
[00:06:17.293 --> 00:06:20.814]  Or call 800-340-7091.
[00:06:20.814 --> 00:06:21.954]  Take my word for it.
[00:06:21.954 --> 00:06:24.615]  Once you've used pure soap, you won't buy anything else.
[00:06:24.615 --> 00:06:31.117]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:06:31.117 --> 00:06:32.637]  Buy American and stay clean.
[00:06:32.637 --> 00:06:35.918]  As well as support InfoWars, visit 5starsoap.com today.
[00:06:35.918 --> 00:06:36.318]  Or call 1-800-340-7091.
[00:06:36.318 --> 00:06:37.658]  Well, Marty, what do you have to say?
