[00:00:00.109 --> 00:00:01.090]  News is taking place.
[00:00:02.853 --> 00:00:09.702]  Scott Brown, of course, ladies and gentlemen, has won a landslide victory in the state of Massachusetts, taking Ted Kennedy's seat.
[00:00:11.284 --> 00:00:13.087]  I want to go over his voting record, though.
[00:00:14.130 --> 00:00:27.673]  Because obviously it is a message to Obama that we don't want the government hijacking of health care, we don't want all the Marxist-Leninist that openly have every major czar ship in his government running our lives.
[00:00:28.454 --> 00:00:34.515]  The problem is, if this is the type of Republicans that are going to be replacing the Democrats, we're in trouble.
[00:00:35.295 --> 00:00:35.595]  Okay?
[00:00:35.915 --> 00:00:42.077]  So it is a good message, it is overall a positive thing, if we navigate this correctly, or we'll end up
[00:00:42.992 --> 00:00:51.977]  In three years, with a watered-down, globalist Republican that will just continue along the lines of George Bush and Barack Obama.
[00:00:53.098 --> 00:00:58.641]  But there is a major realignment taking place, and not just a realignment here in the United States, in Europe.
[00:00:58.742 --> 00:01:04.845]  Every time a country gets a chance to vote, they vote down joining the European Union.
[00:01:05.426 --> 00:01:10.789]  The problem is, is that they just keep bringing the vote back over and over again, like Ireland, till it passes.
[00:01:11.929 --> 00:01:23.872]  Now we are joined for the balance of the hour with a European Member of Parliament from Yorkshire and Humber for the United Kingdom Independence Party.
[00:01:24.612 --> 00:01:26.333]  We're joined by Godfrey Bloom.
[00:01:26.653 --> 00:01:38.276]  GodfreyBloomMEP.co.uk to talk about a host of issues, but I wanted to get him back on last week when I saw some press releases he was putting out about the type of people
[00:01:39.056 --> 00:01:39.437]  I don't know.
[00:02:01.647 --> 00:02:16.812]  I mean, you cannot ignore that Obama's diversities are, praises Mao, and praises the Venezuelan leader, Hugo Chavez, who is starting to really become a dictator and restrict free speech.
[00:02:17.353 --> 00:02:26.396]  I mean, I liked it when he killed the North American, Central American, South American union they were setting up, but I mean, he just gets worse and worse by the minute.
[00:02:27.807 --> 00:02:39.215]  So we're going to be breaking that down with him as well as the fact that it's now coming out that the swine flu hype was a profit-making scam and it was a dangerous vaccine.
[00:02:39.555 --> 00:02:41.377]  I want to get his view on that.
[00:02:41.617 --> 00:02:43.258]  Mr. Bloom, great to have you on with us.
[00:02:43.678 --> 00:02:45.220]  A great pleasure again, Alex.
[00:02:45.260 --> 00:02:46.881]  Morning to you and morning to Texas.
[00:02:47.697 --> 00:03:04.228]  I've thrown out a lot of issues there at the start, but let's get into your press release first with the type of individuals infesting the European Union, then the latest on Gordon Brown and Obama saying that they're going to try to just have the EU, England, and the U.S.
[00:03:04.589 --> 00:03:09.632]  start raising carbon taxes even though Copenhagen failed to get a treaty.
[00:03:10.012 --> 00:03:11.994]  France says even though their Supreme Court
[00:03:12.614 --> 00:03:19.156]  Found their carbon tax to be unfair and discriminatory because the government can selectively enforce it.
[00:03:19.356 --> 00:03:20.076]  That's their plan.
[00:03:20.316 --> 00:03:21.437]  Shut down their competition.
[00:03:21.797 --> 00:03:22.857]  Give favors to friends.
[00:03:23.097 --> 00:03:24.477]  I want to talk about that as well.
[00:03:24.998 --> 00:03:26.338]  How they're trying to regroup.
[00:03:26.578 --> 00:03:29.559]  They're now announcing they're going to try to list other gases as deadly.
[00:03:30.099 --> 00:03:32.820]  So they're not giving up, even though they've been exposed.
[00:03:34.662 --> 00:03:53.827]  Yes, I've been in the chamber this very afternoon talking about this very subject, actually, and it's interesting, fascinating, I have to say, just how similar the problems that we both have, you in America over there and we here in Europe, the same lies, the same cheating, the same scams, all about the same things.
[00:03:54.687 --> 00:03:56.568]  Absolutely fascinating how close we are.
[00:03:56.608 --> 00:04:00.289]  We're running along on parallel lines here with lying and the cheating.
[00:04:01.053 --> 00:04:04.556]  It may help a little bit if I just explained where we are at the moment.
[00:04:04.616 --> 00:04:11.581]  Every five years we have a new parliament, which I mentioned briefly when I was on your show last.
[00:04:12.101 --> 00:04:19.206]  Every five years the commission, the commissioners change, or commissars as they're called by some countries here.
[00:04:19.266 --> 00:04:21.248]  Commissar is probably a better word.
[00:04:21.868 --> 00:04:24.250]  These individuals are selected by governments.
[00:04:24.270 --> 00:04:28.013]  There are 27 of them because we have 27 countries in the European Union.
[00:04:28.874 --> 00:04:38.790]  And these chaps are put forward with specific briefs, whether it's climate, whether it's the economy, whether it's consumers, you know, whatever their brief happens to be.
[00:04:39.822 --> 00:04:53.830]  There are 27 of them, and every five years they're put forward, these characters, and we're allowed to interview them, and I'm allowed to ask them questions for one minute, and I'm allowed a supplementary question of one minute.
[00:04:54.350 --> 00:05:06.457]  So I, as an elected member for Yorkshire and North Lincolnshire, with over a quarter of a million votes on the committee, I'm only allowed two minutes to cross-examine these scoundrels, and they call that democracy.
[00:05:07.779 --> 00:05:09.400]  Tell us about some of these individuals.
[00:05:09.440 --> 00:05:14.864]  I mean, they don't hide that they believe the European Union is the rebirth of, basically, the Soviet Union.
[00:05:15.905 --> 00:05:16.726]  Yes, indeed.
[00:05:17.486 --> 00:05:26.814]  And out of the 27, we have, I think, around about 15 unashamed communists who don't try and pretend it.
[00:05:26.834 --> 00:05:28.075]  They don't try and cover it up.
[00:05:28.675 --> 00:05:36.321]  For example, there's the Spaniard, Mr. Illumina, who is a self-confessed Marxist.
[00:05:37.172 --> 00:05:52.717]  He's a member of the Spanish Socialist Workers' Party and he was part of a joint communist administration in Spain in the year 2000 and they supported the Kremlin when they were trying to stop the Baltic states getting their independence.
[00:05:53.057 --> 00:05:55.238]  So that's the sort of individual that we're dealing with.
[00:05:55.538 --> 00:05:57.719]  He's now in charge of competition commission.
[00:05:57.959 --> 00:05:59.939]  He's the competition commissioner.
[00:06:00.540 --> 00:06:01.540]  He's now in charge of
[00:06:02.821 --> 00:06:06.385]  27 countries, competition arrangements.
[00:06:06.525 --> 00:06:11.110]  So this is ruled by the bureaucracy, just like Obama and his czars.
[00:06:11.430 --> 00:06:16.716]  They don't care what the Congress says, they don't care what the countries say, they just do whatever they want.
[00:06:17.177 --> 00:06:22.783]  Well they do, because my parliament, laughingly called a parliament, is not a parliament as you and I would understand it, Alex.
[00:06:23.463 --> 00:06:25.224]  It's an amending chamber.
[00:06:25.604 --> 00:06:35.730]  So we get the law comes across to my parliament from the Commission bureaucracy and we get to change a few of the sentences and put a couple of full stops and commas in.
[00:06:35.991 --> 00:06:40.914]  But the actual law is created by people like this and I say there's 27 of them.
[00:06:41.734 --> 00:06:45.456]  They're all communists or Marxists and totally unashamed.
[00:06:45.756 --> 00:06:49.959]  Those who aren't necessarily communists have a fairly crooked background as well.
[00:06:50.900 --> 00:06:58.767]  So we've got a right bunch of scoundrels who are going to be taking care of British legislation, the oldest, one of the oldest democracies on the face of the globe.
[00:06:59.008 --> 00:07:01.009]  I don't know how my country got into this mess.
[00:07:02.451 --> 00:07:12.561]  When you talk to these individuals, and we actually have some of those YouTube clips coming up later, but when you talk to these people, I mean, they're not hiding this.
[00:07:14.392 --> 00:07:38.611]  No, it's quite extraordinary and the way they're allowed to get with, as I say, I have all the names here, all members of the Communist Party or Marxists or socialist workers and those who aren't are scoundrels with very fishy backgrounds back at their own home countries where they've all been either prosecuted or been involved in financial scandals of some description or another, including Ireland.
[00:07:39.311 --> 00:07:39.952]  So on and so forth.
[00:07:39.992 --> 00:07:40.853]  It was quite interesting.
[00:07:40.893 --> 00:07:44.035]  I might have mentioned this on your program last time.
[00:07:44.055 --> 00:07:50.801]  For example, the commissioner that they brought in in the last administration, Monsieur Barreau, absolutely fascinating.
[00:07:51.801 --> 00:07:56.045]  He was under a suspended prison sentence in France for embezzlement.
[00:07:56.405 --> 00:07:59.768]  And he was the commissioner to investigate fraud in the European Union.
[00:08:00.088 --> 00:08:01.129]  You simply couldn't invent it.
[00:08:01.189 --> 00:08:03.751]  In fact, I would be surprised if most of your listeners
[00:08:04.011 --> 00:08:09.393]  Or indeed the British listeners, who I know are addicted to your program as well, will actually believe this.
[00:08:09.653 --> 00:08:12.594]  They think I'm a swivel-eyed lunatic, but it's all here in front of me.
[00:08:15.795 --> 00:08:31.361]  So, how does the Parliament ever actually get the rightful power of a democratic system, and how do you stop these commissars, or czars as we call them here, from just doing whatever they want?
