[00:00:00.349 --> 00:00:02.610]  ...media, government cover-ups.
[00:00:03.250 --> 00:00:04.071]  You want answers?
[00:00:04.831 --> 00:00:05.751]  Well, so does he.
[00:00:05.771 --> 00:00:10.113]  He's Alex Jones on the GCN Radio Network.
[00:00:10.573 --> 00:00:14.615]  And now, live from Austin, Texas, Alex Jones.
[00:00:16.889 --> 00:00:20.971]  Wolfgang Wodarg is our guest for at least the next 30 minutes.
[00:00:21.071 --> 00:00:23.111]  A very busy individual.
[00:00:23.131 --> 00:00:25.112]  We are honored to have him.
[00:00:25.152 --> 00:00:27.373]  This is a major news-making interview.
[00:00:28.033 --> 00:00:30.474]  He is the head of health at the Council of Europe.
[00:00:32.011 --> 00:00:37.952]  And we have the 47 nation body now investigating falsified swine flu pandemic.
[00:00:38.413 --> 00:00:49.855]  Health ministers and officials being on the payroll worldwide in different countries to push the fear, the dangerous nature of the vaccine, all the deaths that were caused in the trials a few years ago of the bird flu.
[00:00:50.176 --> 00:00:51.756]  He's investigating it all.
[00:00:52.256 --> 00:00:52.997]  We salute him.
[00:00:53.037 --> 00:00:55.099]  They've been having their investigation the last few weeks.
[00:00:55.419 --> 00:00:59.724]  So here to break it down for us is Dr. Wolfgang Wudarg.
[00:01:00.024 --> 00:01:03.248]  And sir, we really appreciate you coming on with us today.
[00:01:03.888 --> 00:01:05.410]  Thank you that I can be with you today.
[00:01:07.532 --> 00:01:14.820]  Again, tell us just basically about the Health Council of Europe, why you started your investigation, what your investigation is finding.
[00:01:16.229 --> 00:01:25.525]  Yes, I'm a physician myself and I was director for many years of a public health institution in northern Germany, observing the flu waves coming every year.
[00:01:25.545 --> 00:01:28.390]  And as my region has about 120,000 inhabitants,
[00:01:30.959 --> 00:01:39.742]  I used to count about 10% of the population getting ill with a flu and something or symptoms of a flu almost every year.
[00:01:40.222 --> 00:01:54.327]  So when I observed this, what we heard last April about Mexico City, a region with 20 million people, I was very much astonished that there were only 1000 cases when somebody already spoke about pandemic.
[00:01:54.727 --> 00:02:00.509]  I didn't understand it because in my small town we had more people getting ill within one or two weeks.
