[00:00:00.089 --> 00:00:01.330]  GCN Radio Network.
[00:00:08.133 --> 00:00:08.793]  Big Brother.
[00:00:09.454 --> 00:00:10.514]  Mainstream media.
[00:00:11.214 --> 00:00:12.395]  Government cover-ups.
[00:00:12.975 --> 00:00:13.796]  You want answers?
[00:00:14.576 --> 00:00:15.496]  Well, so does he.
[00:00:16.117 --> 00:00:19.779]  He's Alex Jones on the GCN Radio Network.
[00:00:20.299 --> 00:00:24.361]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.428 --> 00:00:37.408]  Welcome, my friends.
[00:00:37.648 --> 00:00:38.069]  Welcome.
[00:00:38.909 --> 00:00:43.151]  It is Wednesday, the 21st day of July 2010.
[00:00:43.931 --> 00:00:53.054]  Coming on the third hour, we have some guests dealing with the depression that has been engineered, not just here in the United States, but worldwide.
[00:00:53.074 --> 00:00:57.356]  And I wanted to pull up some statistics and numbers to cover in the last hour.
[00:00:59.226 --> 00:01:08.690]  Dealing with the fact that many university studies estimate between 5 and 7 plus million people starved to death during the decade-long Great Depression.
[00:01:09.831 --> 00:01:15.693]  That with a population that was 90% rural, and most of that 90% being self-sufficient.
[00:01:16.353 --> 00:01:24.157]  We now have 90% being urban, and of the 10% that are rural, less than half are estimated to be completely self-sufficient.
[00:01:25.538 --> 00:01:35.646]  This is the problem with the domesticated society we live in and all the luxuries like toilets, running water, electricity, modern medicine that we take for granted.
[00:01:37.007 --> 00:01:47.956]  All of those are wonderful developments that were developed and discovered by our forebears with inventions from Japan to the United States that have been developed in the last 200 years.
[00:01:49.497 --> 00:01:53.140]  But through this system of a high-tech
[00:01:53.982 --> 00:02:10.977]  society we become very very soft and also very very disconnected from the land and reality and that has allowed a level of domestication a level of dumbing down from basic facts of life
[00:02:12.574 --> 00:02:16.476]  And a softness that we've never seen in human experience.
[00:02:16.536 --> 00:02:22.780]  And with that softness, we see a more intense version of what happened in other decadent societies.
[00:02:23.280 --> 00:02:36.387]  Rome, during its decline, starting, what, 40-something years even before the birth of Christ, with Julius Caesar, right through to its fall in the 400s.
[00:02:37.981 --> 00:02:48.809]  We see that when societies become decadent, and lovers of corruption, lovers of death, lovers of evil, that the more decadent people get, the more corrupt and murderous they become.
[00:02:49.510 --> 00:03:03.281]  And the more callous they become, and the less feeling, and the more self-centered you become, the more that allows society to even accelerate its collapse.
[00:03:04.041 --> 00:03:05.843]  Once societies have become wealthy,
[00:03:07.332 --> 00:03:13.477]  They always then begin to slouch towards Gomorrah and disintegrate.
[00:03:14.458 --> 00:03:26.088]  And anytime a society says there is no good and evil, and people lose the capacity to judge between what's wholesome and what is destructive, it is an elevator straight to hell.
[00:03:26.428 --> 00:03:27.469]  A man-made hell.
[00:03:30.652 --> 00:03:32.053]  And I am a student of history.
[00:03:32.313 --> 00:03:33.795]  I have found it to be very
[00:03:35.031 --> 00:03:37.612]  Well, entertaining when I first got into it at about age 12.
[00:03:38.752 --> 00:03:44.853]  Of course, the more research history I found out, this wasn't just entertaining, action-packed information I was reading.
[00:03:44.893 --> 00:03:46.433]  This was humanity's story.
[00:03:48.254 --> 00:04:02.097]  And now I have unfortunately come to the realization that total societal degeneration is being done by design, and that the old system of humanity is being designed to collapse
[00:04:04.249 --> 00:04:07.892]  into a high tech kill grid.
[00:04:11.134 --> 00:04:22.863]  And what really concerns me is so many times I will come to a realization about the elite, about the global ruling class and what their aims are from just watching what they're doing on the ground.
[00:04:23.524 --> 00:04:32.591]  And then many years later I will read writings by the leading intellectuals of this planetary regime where they talk about
[00:04:33.646 --> 00:04:42.430]  The necessary program of dumbing us down so that we can't resist being exterminated.
[00:04:43.551 --> 00:04:54.395]  They believe this is a great, hardcore decision they've made and it's beautiful in its will, its willingness to do this.
[00:04:55.456 --> 00:05:00.378]  But I want to have a larger discussion about that today, cover a lot of news, and take your phone calls.
[00:05:00.398 --> 00:05:01.479]  We'll cover it all when we come back.
[00:05:01.499 --> 00:05:01.879]  Stay with us.
[00:05:03.058 --> 00:05:07.059]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:05:07.519 --> 00:05:14.441]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:05:15.001 --> 00:05:23.343]  By tracking 300 separately defined domestic and international trends, the Trends Journal establishes the connections that others fail to see or misinterpret.
[00:05:23.583 --> 00:05:30.745]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:05:31.425 --> 00:05:38.647]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:05:39.227 --> 00:05:41.788]  Extra information to keep you well informed throughout the year.
[00:05:42.008 --> 00:05:49.031]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:05:49.531 --> 00:05:53.512]  When you subscribe to the Trends Journal, you'll also receive trends alerts.
[00:05:53.792 --> 00:05:55.633]  Visit TrendsResearch.com today.
[00:05:55.953 --> 00:05:57.953]  That's TrendsResearch.com.
[00:05:58.253 --> 00:05:59.734]  Subscribe to the Trends Journal.
[00:06:00.114 --> 00:06:01.896]  This information is too important to wait.
[00:06:02.716 --> 00:06:06.160]  You may be arrested, and you're subject to other police action.
[00:06:06.960 --> 00:06:07.921]  Tyranny is here.
[00:06:08.241 --> 00:06:11.865]  The grim future foretold in 1984 has become reality.
[00:06:11.905 --> 00:06:14.367]  It really says that the state is God.
[00:06:14.387 --> 00:06:19.852]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:06:20.272 --> 00:06:26.518]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:06:26.918 --> 00:06:32.439]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:06:32.899 --> 00:06:36.580]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:06:37.080 --> 00:06:41.061]  Prepare to enter the secretive world of emergency dictatorship.
[00:06:41.361 --> 00:06:46.862]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:06:47.302 --> 00:06:50.242]  It's only the beginning of the New World Order's hellish plan.
[00:06:50.862 --> 00:06:52.283]  The police state isn't coming.
[00:06:52.823 --> 00:06:53.263]  It's here.
[00:06:53.943 --> 00:07:00.773]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:07:02.611 --> 00:07:06.552]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:07:06.792 --> 00:07:12.833]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:07:13.193 --> 00:07:20.295]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:07:20.575 --> 00:07:25.156]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:07:25.456 --> 00:07:27.517]  Get a free, detailed catalog by calling 800
[00:07:28.998 --> 00:07:33.922]  3407091 or see them online at 5starsoap.com or infowars.com.
[00:07:34.102 --> 00:07:37.846]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[00:07:38.370 --> 00:07:44.533]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:07:44.553 --> 00:07:48.555]  I'm happy to say our business is going down the drain.
[00:07:49.035 --> 00:07:55.299]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:07:55.399 --> 00:07:56.179]  Thank you.
[00:08:08.547 --> 00:08:14.092]  We now take you live to the Central Texas Command Center, in the heart of the resistance.
[00:08:14.572 --> 00:08:17.214]  You're listening to the Alex Jones Show!
[00:08:17.234 --> 00:08:21.338]  We're live.
[00:08:21.458 --> 00:08:23.259]  It's Wednesday, the 21st day of July, 2010.
[00:08:23.579 --> 00:08:30.545]  We have guests coming out in the third hour today to deal with the depression that has been engineered by design.
[00:08:32.727 --> 00:08:35.930]  But what I want to do is mix the show up a bit here.
[00:08:38.083 --> 00:08:40.805]  Now, a lot of you have probably been noticing we've been making a lot of changes.
[00:08:41.045 --> 00:08:45.327]  I want to open the phones up on the economy, on the oil leak.
[00:08:45.447 --> 00:08:46.368]  Is it really capped?
[00:08:47.268 --> 00:08:54.913]  They're saying that it's leaking some, and there's leaks in Fishers several miles away, but it's not related to the original leak.
[00:08:56.094 --> 00:09:00.556]  I want to get into what's happening with the economy, what's going on in Arizona.
[00:09:01.077 --> 00:09:03.238]  Mexico's collapse is accelerating.
[00:09:05.538 --> 00:09:19.747]  We're now learning more about Obama and the sweeping financial overall bill that has passed and some more of the things that are in the health care bill that passed, like the tracking and control of gold and other precious metals purchases.
[00:09:20.648 --> 00:09:30.495]  There's just a lot of insane news coming out on a daily basis as this quickening intensifies and builds towards a crescendo.
[00:09:31.789 --> 00:09:34.472]  The world is changing for the better and the worst.
[00:09:34.532 --> 00:09:35.673]  It was the best of times.
[00:09:36.114 --> 00:09:37.075]  It was the worst of times.
[00:09:37.155 --> 00:09:48.508]  But before I get into all of this news, I want to give the toll-free number out and in the first hour give new callers a chance because so many people are never able to call in.
[00:09:48.548 --> 00:09:51.671]  So I want to give first-time callers a chance.
[00:09:52.455 --> 00:10:01.983]  That means if you've been on hold before when the show ends, you've never had a chance to be on the broadcast, and you've got an issue or a question or a comment or you disagree with me, I'd love to hear from you.
[00:10:02.003 --> 00:10:02.544]  1-800-259-9231.
[00:10:02.564 --> 00:10:04.205]  1-800-259-9231 is the toll-free number to join us.
