[00:00:09.124 --> 00:00:14.668]  Hello everybody, Mike Adams, the Health Ranger here, and we are talking about Big Pharma's agenda.
[00:00:15.129 --> 00:00:27.158]  It's a global agenda to not just take your money and make sure that you die broke, but also to see that not as many of you survive as you should because of this eugenics agenda.
[00:00:27.178 --> 00:00:37.646]  We're going to talk about that, Big Pharma, the biotech industry, and why they are stealing away your life, taking away your health, and shoving bioengineered food down your throat at the same time.
[00:00:38.386 --> 00:00:42.127]  Also here, we're going to be talking about vaccines and the vaccine agenda.
[00:00:42.187 --> 00:00:51.571]  Why are they pushing so hard to get you to take vaccines when the science shows that vaccines don't really work as well as they claim they do?
[00:00:51.871 --> 00:00:54.271]  These are some of the issues we're going to be covering right here.
[00:00:54.391 --> 00:00:55.792]  And let's start with Big Pharma.
[00:00:56.072 --> 00:01:01.134]  Now, the pharmaceutical industry, we know, makes money off of sickness and disease.
[00:01:01.974 --> 00:01:06.756]  If you're not suffering from a degenerative health condition, then they're not making money.
[00:01:07.236 --> 00:01:11.017]  So it's in their interest to make sure that you stay sick.
[00:01:11.737 --> 00:01:15.559]  But they don't exactly want to kill you because then they'd lose a customer.
[00:01:15.919 --> 00:01:18.920]  So what they really want to do is put you in a situation.
[00:01:19.560 --> 00:01:23.022]  Well, you're not quite dead, but not quite healthy and alive.
[00:01:23.062 --> 00:01:24.363]  You're somewhere in between.
[00:01:24.863 --> 00:01:33.429]  You're in this degenerative disease zone where they can extract all the money that you've worked so hard to earn for your entire life.
[00:01:33.789 --> 00:01:34.229]  Think about it.
[00:01:34.249 --> 00:01:40.694]  You work your whole life making money, saving money, working 60 hours a week, perhaps, trying to get by.
[00:01:41.454 --> 00:01:54.641]  And then in the last few years of your life, they can steal that money away from you by enslaving you in a system of medicine that's designed not to heal you, but to keep you sick and take your money at the same time.
[00:01:55.101 --> 00:01:56.782]  That's the way Big Pharma really works.
[00:01:57.062 --> 00:02:06.087]  We've talked about the agenda of keeping you sick and taking your money, but now they're taking it to new highs or new extremes because they're starting younger.
[00:02:06.687 --> 00:02:10.389]  They want your baby to be injected with vaccines as soon as it's born.
[00:02:11.009 --> 00:02:19.033]  They want to extract money from your children, from your teens, from you and your family members as adults and also as senior citizens.
[00:02:19.474 --> 00:02:27.498]  There's not a day in your life that goes by that the drug companies don't see an opportunity to make money off of your suffering.
[00:02:27.518 --> 00:02:31.140]  They're going to program you with definitions of disease that aren't real.
[00:02:31.860 --> 00:02:35.421]  They're going to say that, oh, you suffer from anxiety disorder.
[00:02:35.621 --> 00:02:37.701]  Are you nervous giving a speech in public?
[00:02:37.941 --> 00:02:39.181]  Must be something wrong with you.
[00:02:39.681 --> 00:02:42.422]  Must be something wrong with your brain chemistry.
[00:02:42.462 --> 00:02:43.422]  You need a drug for that.
[00:02:44.122 --> 00:02:47.983]  Or does your child like to learn in an unnatural way, they might say.
[00:02:48.303 --> 00:02:49.423]  He doesn't want to sit still.
[00:02:49.763 --> 00:02:51.404]  Instead, he likes to play outside.
[00:02:51.964 --> 00:02:54.424]  Or he likes to do three or four different things at once.
[00:02:54.484 --> 00:02:55.604]  A multitasking kid.
[00:02:56.004 --> 00:02:57.605]  Something wrong with that kid's brain.
[00:02:57.645 --> 00:02:58.925]  That's what they want you to believe.
[00:02:59.625 --> 00:03:03.387]  And they want you to medicate that child with psychiatric drugs.
[00:03:04.147 --> 00:03:17.134]  So by drugging your child, these companies are able to create a lifetime customer from which they can extract more profits through their teen years, adult working years, and retirement years.
[00:03:17.314 --> 00:03:25.478]  If you've followed some of the things that we've talked about before, you know that there are natural remedies that work better than pharmaceuticals in almost every case.
[00:03:26.325 --> 00:03:30.867]  They're better, they're safer, they're more effective, and they cost less.
[00:03:31.307 --> 00:03:32.308]  They're readily available.
[00:03:33.068 --> 00:03:42.173]  So why aren't those being touted as the solutions for these degenerative health conditions that are affecting so many people in our society today?
[00:03:42.633 --> 00:03:45.714]  Well, the answer is because you can't patent natural remedies.
[00:03:46.275 --> 00:03:52.458]  You cannot patent green tea or pomegranate seeds or walnuts, which lower cholesterol.
[00:03:53.078 --> 00:03:59.527]  You can't patent superfoods because they're created by nature, not scientists working in a lab somewhere.
[00:03:59.927 --> 00:04:01.489]  So there's no profit incentive.
[00:04:01.630 --> 00:04:10.161]  The toxic chemicals in the food supply, those will kill you too, especially if they combine with the synthetic chemicals that are in the pharmaceuticals.
[00:04:10.882 --> 00:04:11.702]  Now you think about this.
[00:04:12.162 --> 00:04:15.844]  The average American is out there getting injected with vaccines.
[00:04:16.504 --> 00:04:23.326]  They're buying processed food with chemical adulterations, chemical contaminants that are put in by the food companies.
[00:04:24.206 --> 00:04:28.688]  They're out there taking these over-the-counter medicines that are extremely dangerous, loaded with toxic chemicals.
[00:04:29.308 --> 00:04:31.369]  They're using toxic personal care products.
[00:04:32.009 --> 00:04:37.691]  You know, the deodorants, the antibacterial soaps that are made with a type of nerve agent poison.
[00:04:38.644 --> 00:04:45.967]  The shampoos, the colognes and fragrances, the dryer sheets, the laundry detergents, all of these chemicals, they add up.
[00:04:46.067 --> 00:04:51.929]  It just combines all these chemicals to create a highly toxic environment for your body.
[00:04:52.309 --> 00:04:55.571]  Your liver becomes so toxic, it's like a toxic waste dump.
[00:04:56.551 --> 00:05:02.015]  And once your liver is damaged, they know that you're going to develop all of these additional diseases.
[00:05:02.355 --> 00:05:05.857]  Neurological conditions, dementia and Alzheimer's disease.
[00:05:06.398 --> 00:05:08.699]  They know that your cholesterol is going to be imbalanced.
[00:05:09.119 --> 00:05:11.361]  They know that your kidneys aren't going to function correctly.
[00:05:11.621 --> 00:05:13.202]  Your heart won't function correctly.
[00:05:13.442 --> 00:05:18.726]  Your reproductive organs won't work the way that they're supposed to work, the way you were designed to work.
[00:05:18.946 --> 00:05:24.490]  Now, in other issues, we've got a whole history of medical experimentation that you may not know about.
[00:05:25.390 --> 00:05:30.577]  In fact, throughout American history, the drug companies, the government, and the U.S.
[00:05:30.637 --> 00:05:35.804]  military has used the population, innocent people, in medical experiments.
[00:05:36.285 --> 00:05:38.849]  They've done that time and time again without telling people.
[00:05:39.149 --> 00:05:40.371]  In fact, they would deceive people.
[00:05:40.411 --> 00:05:41.512]  They would tell you things like,
[00:05:42.233 --> 00:05:48.078]  Oh, we're taking blood samples to monitor your health, or we're injecting you with a vaccine to protect you.
[00:05:48.598 --> 00:05:51.841]  And they wouldn't tell you that they're actually injecting you with some kind of disease.
[00:05:52.281 --> 00:06:05.952]  Our government has lied to us on so many occasions, in so many situations where people have suffered and died, that you'd have to be insane to trust the government today when it talks to you about health.
[00:06:06.232 --> 00:06:08.173]  When they say, well, take vaccines today.
[00:06:08.934 --> 00:06:10.776]  Take H1N1 swine flu.
[00:06:10.836 --> 00:06:11.557]  Get injected.
[00:06:11.617 --> 00:06:12.778]  Get your children injected.
[00:06:13.239 --> 00:06:16.903]  Because by getting injected, you won't miss days at work, they say.
[00:06:17.604 --> 00:06:18.245]  You'll be well.
[00:06:18.305 --> 00:06:19.186]  You won't have sick days.
[00:06:19.646 --> 00:06:22.850]  Well, what they don't tell you is that these are lies.
[00:06:23.831 --> 00:06:25.312]  I'm really telling you the truth.
[00:06:25.453 --> 00:06:29.056]  They are throwing these vaccines on you like you were a human dartboard.
[00:06:29.076 --> 00:06:36.904]  And they're hoping something sticks in you, and they're hoping that you're enough of a sucker to just go along with this while they keep pumping you full of chemicals.
[00:06:37.284 --> 00:06:39.547]  And you notice how you can't just do it once?
[00:06:40.107 --> 00:06:47.354]  They say you gotta come back every year, have another vaccine, here, another needle, another chemical, another new disease, another disorder.
[00:06:47.935 --> 00:06:54.077]  That's right, pretty soon you're taking 12, 15 pharmaceuticals, you're being injected, you're being irradiated.
[00:06:54.197 --> 00:06:54.958]  They poisoned you.
[00:06:55.758 --> 00:06:56.978]  They irradiated you.
[00:06:57.699 --> 00:07:00.159]  They injected you with unproven chemicals.
[00:07:00.279 --> 00:07:01.840]  You were the experiment.
[00:07:02.000 --> 00:07:06.282]  Your children and your family members, they are being treated like human guinea pigs.
[00:07:07.122 --> 00:07:11.463]  And they're watching what happens to see the results of their experiment.
[00:07:11.884 --> 00:07:15.045]  In this experiment, they're also asking, how much money can we make from this?
