[00:00:00.009 --> 00:00:01.612]  Confirmation war continues.
[00:00:02.213 --> 00:00:05.198]  It's Alex Jones and the GCN Radio Network.
[00:00:17.455 --> 00:00:18.356]  Hello, my friends.
[00:00:18.496 --> 00:00:21.178]  It is Sunday, the 27th day of June 2010.
[00:00:21.279 --> 00:00:25.522]  We're going to be live here for the next two hours.
[00:00:25.542 --> 00:00:32.108]  We're going to be going over the unfortunate fact that the economy is being destroyed by design.
[00:00:33.370 --> 00:00:37.273]  Biden is saying we can't recover all of the lost jobs.
[00:00:38.693 --> 00:00:45.738]  Bloomberg is reporting that 46 state governments are facing Greek-style deficits all by design.
[00:00:46.699 --> 00:00:56.106]  Record unemployment levels, obviously, here in the United States since the Great Depression, and record numbers in the next month scheduled to go off the unemployment rolls.
[00:00:57.087 --> 00:00:58.228]  So we'll be discussing that.
[00:00:58.428 --> 00:01:02.211]  Also, Obama Internet Kill Switch Plan approved by U.S.
[00:01:02.331 --> 00:01:02.651]  Senate.
[00:01:03.071 --> 00:01:04.813]  That's the tech world headline.
[00:01:05.981 --> 00:01:13.866]  I've been warning people about this for three years since the cybersecurity legislation was written under Hare Bush's tutelage and tenure.
[00:01:14.527 --> 00:01:19.230]  And now it's passed the House, passed the Senate committee, and looks like it has the votes in the full Senate.
[00:01:19.690 --> 00:01:23.373]  The complete takeover of the Internet by the Pentagon.
[00:01:24.093 --> 00:01:27.876]  They already have the grid in to kill the Internet, to shut it off.
[00:01:28.776 --> 00:01:32.299]  But now they're about to have the law to be able to do it.
[00:01:32.319 --> 00:01:35.561]  Of course, they did have laws in this country that black people weren't humans.
[00:01:36.561 --> 00:01:43.564]  And they've had laws that young women could be taken and forcibly sterilized if they made under a B plus in high school.
[00:01:44.044 --> 00:01:46.045]  That was going on until the mid-seventies quietly.
[00:01:46.925 --> 00:01:50.046]  So we're going to expose these criminal laws and what's happening.
[00:01:50.066 --> 00:02:02.611]  And the first time they shut the Internet off, it'll be for a few days and say, oh, thank God we had this bill when Al Qaeda struck and attacked the power grid, which isn't hooked to the Internet and shouldn't be hooked to the Internet, but it isn't.
[00:02:03.351 --> 00:02:05.956]  Uh, they can say, see we shut it off only for a few days.
[00:02:06.457 --> 00:02:08.441]  Caused some problems, but it kept you safe.
[00:02:09.082 --> 00:02:13.631]  And then it's, oh we shut it off a few months the next time, and oh see we had to do this, and...
[00:02:14.793 --> 00:02:20.417]  This internet kill switch is only one part of death by a hundred cuts, but it is one of the biggest cuts.
[00:02:20.497 --> 00:02:26.321]  It's a hatchet attack to the direct neck of the internet and the free press.
[00:02:27.142 --> 00:02:28.003]  So that's coming up.
