[00:00:07.535 --> 00:00:09.796]  ...media, government cover-ups.
[00:00:10.456 --> 00:00:11.277]  You want answers?
[00:00:12.017 --> 00:00:12.978]  Well, so does he.
[00:00:13.598 --> 00:00:17.240]  He's Alex Jones on the GCN Radio Network.
[00:00:17.780 --> 00:00:21.902]  And now, live from Austin, Texas, Alex Jones. ...
[00:00:40.241 --> 00:00:41.622]  Welcome, ladies and gentlemen.
[00:00:42.983 --> 00:00:59.733]  It is already Thursday, the 14th day of July, 2005, the seven-day mark since the bombings in London that are now being used to push the Patriot Act here domestically, the National ID Card Control Grid in London.
[00:01:00.433 --> 00:01:03.175]  It's being used to bolster staying the course...
[00:01:03.922 --> 00:01:07.523]  We'll be out of there in two months, they said, but now they're saying another 12 years.
[00:01:07.543 --> 00:01:16.305]  Well, that's on top of the 13, no, 14 years of occupation that we've already seen since 1990, late 1990.
[00:01:16.565 --> 00:01:18.166]  That's 14 years.
[00:01:18.666 --> 00:01:19.766]  Well, what's wrong with another 12?
[00:01:20.446 --> 00:01:22.647]  I mean, this all makes a lot of sense, doesn't it?
[00:01:24.119 --> 00:01:37.848]  We had John Rappaport on yesterday for about 20 minutes, a great reporter and journalist, talking about the Madrid bombings and how they tie into the London bombings and how they tie into other past events and also what's happening with the move in Europe.
[00:01:38.229 --> 00:01:40.570]  The banned vitamins, big ruling two days ago.
[00:01:40.590 --> 00:01:46.194]  He was talking about so many interesting points that we're going to have him back on today in the third hour.
[00:01:47.233 --> 00:01:54.658]  So, look forward to that, and we're also going to have wide-open phones throughout the broadcast today.
[00:01:54.678 --> 00:01:59.801]  The toll-free number to join us is 1-800-259-9231.
[00:02:00.502 --> 00:02:04.464]  You know, we're now learning who the four bombers supposedly are.
[00:02:05.745 --> 00:02:07.126]  We're seeing their photos.
[00:02:08.760 --> 00:02:10.762]  We're seeing their faces.
[00:02:10.842 --> 00:02:12.163]  We're getting their names.
[00:02:12.683 --> 00:02:14.805]  They were 18-year-old soccer players.
[00:02:14.885 --> 00:02:18.307]  They were school teachers that taught disabled children.
[00:02:20.029 --> 00:02:27.895]  And boy, they were also just rogue killers who all magically blew themselves up simultaneously.
[00:02:27.955 --> 00:02:29.015]  No reason to do that.
[00:02:29.696 --> 00:02:30.817]  No way to coordinate it.
[00:02:30.917 --> 00:02:34.920]  But conveniently, they all just magically blew themselves up.
[00:02:34.960 --> 00:02:37.362]  But their ID cards were left on the seats.
[00:02:37.998 --> 00:02:43.259]  Or they blew themselves up, just like the magic passports.
[00:02:43.319 --> 00:02:49.621]  We always talk about the one passport, but actually two drifted down out of the towers unscathed.
[00:02:50.181 --> 00:03:04.285]  And so we got to learn that it was al-Qaeda, and they conveniently left Korans and flight manuals and plans of how to do it in their cars, with links back to the al-Qaeda network, of course, which is al-CIAIDA.
[00:03:05.572 --> 00:03:12.455]  And understand, folks, our governments, Western governments that have been caught, caught, it's admitted, time and time again, carrying out terror events.
[00:03:13.255 --> 00:03:19.378]  And so we look at who has the motive, we look at who's been caught doing this in the past, and it is not the Arabs.
[00:03:19.658 --> 00:03:22.780]  And in Operation Northwoods, the official U.S.
[00:03:22.820 --> 00:03:27.982]  government terror plan, they even describe how to frame Patsy's.
[00:03:28.849 --> 00:03:31.330]  And so this fits the classic MO.
[00:03:31.771 --> 00:03:34.352]  The official story just has massive holes in it.
[00:03:35.133 --> 00:03:37.594]  Worse than Swiss cheese.
[00:03:38.315 --> 00:03:46.619]  So we will be going over some of these and giving you a chance, some of these examples of fraud, giving you a chance to get involved on air.
[00:03:46.639 --> 00:03:48.060]  And I will go to you in the next segment.
[00:03:48.080 --> 00:03:48.140]  1-800-259-9231.
[00:03:53.792 --> 00:03:56.775]  And we will get you up and on the air.
[00:03:57.216 --> 00:04:05.625]  The websites that are leading the fight worldwide on the web right now to expose what's really going on behind government-sponsored terrorism
[00:04:10.050 --> 00:04:16.072]  And PrisonPlanet.com as well as InfoWars.net and PrisonPlanet.tv.
[00:04:16.092 --> 00:04:19.073]  So be sure and check out the websites today.
