[00:00:00.117 --> 00:00:00.537]  Network.
[00:00:07.762 --> 00:00:08.443]  Big Brother.
[00:00:09.083 --> 00:00:10.164]  Mainstream media.
[00:00:10.844 --> 00:00:11.965]  Government cover-ups.
[00:00:11.985 --> 00:00:13.446]  You want answers?
[00:00:14.186 --> 00:00:16.108]  Well, so does he.
[00:00:16.128 --> 00:00:19.410]  He's Alex Jones on the GCN Radio Network.
[00:00:19.930 --> 00:00:24.013]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.755 --> 00:00:34.836]  Welcome, my friends.
[00:00:34.856 --> 00:00:38.999]  It is Thursday, the 23rd day of June 2005.
[00:00:39.460 --> 00:00:41.882]  I'm Alex Jones, your host.
[00:00:41.922 --> 00:00:44.924]  We'll be live here for the next three hours.
[00:00:45.945 --> 00:00:51.730]  This broadcast is dedicated to property rights, the Second Amendment, controlling our borders.
[00:00:51.810 --> 00:00:55.773]  We are strongly opposed to abortion and pro-life.
[00:00:56.693 --> 00:00:59.115]  We are against the United Nations and UNESCO.
[00:00:59.176 --> 00:01:05.281]  We are against genetically engineered cross-species, trans-species food.
[00:01:06.082 --> 00:01:11.367]  We are against the deadly dangerous, demonstrably dangerous, vaccines.
[00:01:11.548 --> 00:01:18.795]  We are against the police state and the militarization of our police and the high-tech control grid that is going into place.
[00:01:20.956 --> 00:01:24.518]  Cities may seize homes for economic development.
[00:01:24.898 --> 00:01:25.779]  Court rules.
[00:01:25.819 --> 00:01:27.160]  This just came out this morning.
[00:01:28.560 --> 00:01:36.365]  The Supreme Court ruled today that local governments may seize people's homes and businesses even against their will for private economic development.
[00:01:38.786 --> 00:01:44.930]  Not for highways, not for reservoirs, not for city council buildings,
[00:01:46.483 --> 00:02:01.711]  Now, in one case in Connecticut, beautiful old homes on a lake and a river, and the developers want that land, and they're, by the way, offering the people much less than it's actually worth, and they're going to take it and bulldoze it.
[00:02:03.391 --> 00:02:04.452]  No one is safe.
[00:02:04.852 --> 00:02:08.934]  The politicians are paid off by the realtors, and they come and take your property.
[00:02:09.274 --> 00:02:13.957]  By the way, four years ago, the Supreme Court ruled in Reno, Nevada,
[00:02:15.672 --> 00:02:21.995]  They're by the lake that people can have their property taken by the government without just compensation.
[00:02:22.775 --> 00:02:33.320]  So we have them saying, no just compensation, and now they're saying, hey, it isn't just for public works, you know, for a highway that's coming through, which you can argue is acceptable.
[00:02:34.340 --> 00:02:37.421]  No, now it is for everything.
[00:02:38.282 --> 00:02:42.564]  And we have a guest joining us to cover this subject in about 30 minutes.
[00:02:43.749 --> 00:02:45.790]  Of exactly 30 minutes and 15 seconds.
[00:02:47.791 --> 00:02:50.312]  House OK's ban on flag burning.
[00:02:50.432 --> 00:02:57.155]  So they'll pass a constitutional amendment or pass the beginning of the process for a constitutional amendment.
[00:02:59.236 --> 00:03:02.457]  So you can't burn the flag, which I don't like burning the flag.
[00:03:02.497 --> 00:03:03.118]  I love the flag.
[00:03:03.158 --> 00:03:05.499]  It symbolizes the Bill of Rights, Declaration of Independence.
[00:03:07.019 --> 00:03:10.261]  Meanwhile, what the flag stands for is being burned.
[00:03:11.738 --> 00:03:19.764]  So, form over substance, yet again, as they butcher property rights even further.
[00:03:19.804 --> 00:03:21.506]  This is a big ruling, folks.
[00:03:21.906 --> 00:03:23.848]  This Connecticut case has been highly watched.
[00:03:25.229 --> 00:03:29.192]  Chinese oil company offers $18.5 billion for Unicole.
[00:03:31.253 --> 00:03:37.178]  And they're also offering money for one of the last American makers of appliances, Maytag.
[00:03:39.272 --> 00:03:42.815]  Pentagon sued by its own soldier for being beaten and basically tortured.
