[00:00:00.129 --> 00:00:01.990]  The Alex Jones Show.
[00:00:01.990 --> 00:00:06.273]  Because there's a war on for your mind.
[00:00:06.273 --> 00:00:10.896]  Monday through Friday from 11am until 2pm.
[00:00:10.896 --> 00:00:14.499]  Central Standard Time back from 9 to midnight.
[00:00:14.499 --> 00:00:16.400]  Central Standard Time.
[00:00:16.400 --> 00:00:19.142]  We're gonna be going to Tom Flacco here in just a minute or two.
[00:00:20.479 --> 00:00:23.961]  Written for World Net Daily and about 50 other major publications.
[00:00:23.961 --> 00:00:26.982]  Gone to many of the 9-11 Whitewash Commission meetings.
[00:00:26.982 --> 00:00:32.084]  Broken big story after big story that have panned out to be very, very accurate.
[00:00:32.084 --> 00:00:37.046]  This new one, he's gotten a lot of info from intelligence and people on the fringes of intelligence.
[00:00:37.046 --> 00:00:41.528]  We know there's a criminal grand jury that is investigating the Valerie Plame leaks.
[00:00:41.528 --> 00:00:42.428]  That's admitted.
[00:00:43.564 --> 00:00:45.445]  Some people even have trouble dealing with that.
[00:00:45.445 --> 00:00:47.946]  That's like Time Magazine, folks.
[00:00:47.946 --> 00:00:53.828]  But this latest claim by some is that indictments have been handed down.
[00:00:53.828 --> 00:00:55.589]  So that's coming up in a minute or two.
[00:00:55.589 --> 00:01:02.251]  And then later, officials warn a possibility of attack around September 11th, New York Times.
[00:01:02.251 --> 00:01:03.392]  More fear-mongering.
[00:01:03.392 --> 00:01:07.433]  Another report here, FBI terror attacks here in New York, LA, Chicago.
[00:01:07.433 --> 00:01:09.814]  We better have checkpoints and train you all how to be slaves.
[00:01:10.689 --> 00:01:16.470]  Texas becomes the nation's newest majority-minority state.
[00:01:16.470 --> 00:01:17.591]  You gotta love that.
[00:01:17.591 --> 00:01:24.012]  They're the minority, but they're the majority, and they're gonna be the minority even when there's, you know, I mean, you gotta love it, folks.
[00:01:24.012 --> 00:01:26.733]  I just, I'm gonna comment on this.
[00:01:26.733 --> 00:01:29.253]  Also, Saddam is a speedy execution.
[00:01:29.253 --> 00:01:37.635]  That's like busting a capo in a mafia regime and having the leader of the, you know, the Don,
[00:01:38.695 --> 00:01:44.337]  Who ordered the Capo to carry out crimes, then the Don orders his public execution for carrying out the crimes.
[00:01:44.337 --> 00:01:45.957]  People go, no!
[00:01:45.957 --> 00:01:50.038]  No, the Don needs to get in trouble, and our government is the Don.
[00:01:50.038 --> 00:01:52.559]  So, the Don being the mob boss, folks.
[00:01:52.559 --> 00:01:54.700]  So, that's coming up.
[00:01:54.700 --> 00:01:57.881]  Two more news on our troops being drugged with amnesiacs.
[00:01:57.881 --> 00:02:01.102]  This is mainstream news after they go out and kill women and children.
[00:02:01.102 --> 00:02:01.962]  Our government drugs them.
[00:02:03.027 --> 00:02:09.911]  Turns out that American media, the folks that give you all the big tabloids, are being used as influence peddlers basically to protect Schwarzenegger.
[00:02:09.911 --> 00:02:10.751]  This is L.A.
[00:02:10.751 --> 00:02:11.652]  Times.
[00:02:11.652 --> 00:02:14.013]  They would go buy up stories just to keep them quiet.
[00:02:14.013 --> 00:02:16.354]  Oh yeah, that's real old.
[00:02:16.354 --> 00:02:17.334]  But now it's the L.A.
[00:02:17.334 --> 00:02:17.875]  Times.
[00:02:17.875 --> 00:02:20.016]  A lot of that stuff's coming up, but for the next hour,
[00:02:20.996 --> 00:02:23.638]  We have got Tom Flacco.
[00:02:23.638 --> 00:02:27.381]  Last but not least, didn't have time to plug it properly last hour.
[00:02:27.381 --> 00:02:36.889]  My new film, 9-11, Rise of the Police State, Marshall Law, 9-11, Rise of the Police State, is a mini-series, and it covers the latest police state developments.
[00:02:36.889 --> 00:02:40.492]  I mean, on the ground, we show it to you, around the country and in New York.
[00:02:40.492 --> 00:02:48.779]  Sound cannons, hover blimps, police arresting people and putting them in private, Merck-controlled, you know, Bechtel, George Shultz camps.
[00:02:50.145 --> 00:02:53.828]  Just incredible stuff where we get threatened with arrest every day.
[00:02:53.828 --> 00:02:57.310]  Then we spend an hour on who carried out 9-11.
[00:02:57.310 --> 00:03:00.312]  We confront Michael Moore for whitewashing.
[00:03:00.312 --> 00:03:04.354]  We confront David Gergen about being a member of a satanic organization.
[00:03:04.354 --> 00:03:07.136]  And he blows up and admits it all.
[00:03:07.136 --> 00:03:09.217]  That's the Karl Rove of four administrations.
[00:03:10.805 --> 00:03:16.170]  Look, we just go where the truth leads us, and it is a bizarre and shocking and powerful film.
[00:03:16.170 --> 00:03:20.013]  We've also got American Dictators, 9-11, The Road to Tyranny, Masters of Terror.
[00:03:20.013 --> 00:03:29.322]  I'm carrying Joyce Riley and William Lewis's new powerful film, Beyond Treason, about the government knowingly testing chemical and biologicals on troops.
[00:03:29.978 --> 00:03:31.219]  Killing them in many cases?
[00:03:31.219 --> 00:03:33.379]  I mean, this shows you who the government is.
[00:03:33.379 --> 00:03:34.600]  Criminals, folks.
[00:03:34.600 --> 00:03:36.520]  Criminals have got control of the government.
[00:03:36.520 --> 00:03:39.502]  We've got that video, a lot of other books and videos.
[00:03:39.502 --> 00:03:43.643]  Go to infowars.com.
[00:03:43.643 --> 00:03:48.885]  Or prisonplanet.com to order via the Safe Secure online shopping cart.
[00:03:48.885 --> 00:03:51.506]  Or you can call toll free to get my videos.
[00:03:52.401 --> 00:03:52.761]  And that's 1-888-253-3139.
[00:03:52.761 --> 00:03:53.202]  That's 888-253-3139.
[00:03:53.202 --> 00:03:56.524]  Or just write to me, Alex Jones, at 3001 South Lamar, Suite 100, Austin, TX 78704.
[00:03:56.524 --> 00:04:04.469]  And never forget, your purchase of videos and books makes this broadcast and the website and my contributors and everything we do possible.
[00:04:21.403 --> 00:04:25.247]  PrisonPlanet.tv or InfoWars.com or 888-253-3139.
[00:04:25.247 --> 00:04:32.976]  A lot of new stuff we're adding to PrisonPlanet.tv.
[00:04:32.976 --> 00:04:36.180]  Like whereas we put about half the interview up for free, you get the second half.
[00:04:37.274 --> 00:04:39.255]  For being a member of PrisonPlanet.tv.
[00:04:39.255 --> 00:04:41.275]  Gotta have some way to pay for the bandwidth.
[00:04:41.275 --> 00:04:43.196]  15 cents a day, I'm sure you can afford it.
[00:04:43.196 --> 00:04:45.177]  Alright, going to Tom Plonko.
[00:04:45.177 --> 00:04:46.957]  Tom, been on many, many times.
[00:04:46.957 --> 00:04:49.198]  Just does a great job.
[00:04:49.198 --> 00:04:50.759]  And Tom, it's good to have you on with us.
[00:04:50.759 --> 00:04:51.859]  Hi Alex, how are you?
[00:04:52.685 --> 00:04:53.466]  Good.
[00:04:53.466 --> 00:04:59.269]  I know that you've had some intelligence groups, Group 5 and others, trying to go after you.
[00:04:59.269 --> 00:05:09.515]  And we've tracked a lot of these groups back to kind of these shadowy private merc groups that are really government, but are privately run, like the prisons and everything else.
[00:05:09.515 --> 00:05:10.896]  But that doesn't matter.
[00:05:10.896 --> 00:05:15.719]  You're reporting on things that are very important, and it's good to have you on with us.
[00:05:15.719 --> 00:05:16.740]  Well, thank you very much, Alex.
[00:05:17.822 --> 00:05:36.809]  As you know, the last couple stories, the financial terrorism towers over 9-11, and my report about the Bush-Cheney indictments, as you said to me on the pre-production issues, we were discussing that there is a criminal grand jury that's convened in Chicago.
[00:05:36.809 --> 00:05:45.292]  And a lot of people don't realize this, that there are facilities for 6, 7, 8 grand juries within that building.
[00:05:45.936 --> 00:05:50.777]  You know, and so I've been told that there are other groups.
[00:05:50.777 --> 00:05:51.997]  We don't know how many.
[00:05:51.997 --> 00:05:53.358]  I don't know where they all are.
[00:05:53.358 --> 00:05:54.358]  I don't know what cities.
[00:05:54.358 --> 00:05:57.538]  I don't know what, you know, the locations, that kind of thing.
[00:05:57.538 --> 00:06:07.620]  But we know that in Chicago itself that there are individuals working there, and they're intently been working over, oh, like a year, year and a half or so regarding this issue.
[00:06:07.620 --> 00:06:09.721]  And from what I understand now,
[00:06:11.234 --> 00:06:21.000]  That they're going a little deeper than the Valerie Plain because, you know, you get one piece of evidence and then it steps on another piece and it leads to another leg in another direction.
[00:06:21.000 --> 00:06:23.842]  So, right off the bat... Well, let's be clear.
[00:06:23.842 --> 00:06:29.245]  People have gone to prison at Enron, which the Bushes were neck deep in.
[00:06:29.245 --> 00:06:31.947]  I mean, Alberto Gonzalez was an Enron lawyer.
[00:06:31.947 --> 00:06:34.648]  I mean, they're their biggest contributors.
[00:06:34.648 --> 00:06:35.809]  They were heavily invested.
[00:06:36.469 --> 00:06:39.411]  They're involved, though, in things much bigger than that.
[00:06:39.411 --> 00:06:41.613]  The trillion's missing from the Pentagon.
[00:06:41.613 --> 00:06:43.234]  We have the House hearings on that.
[00:06:43.234 --> 00:06:45.936]  I mean, they're involved in bid rigging.
[00:06:45.936 --> 00:06:51.860]  They're involved in... Cheney openly gives contracts to his wife on the board of Lockheed Martin.
[00:06:51.860 --> 00:06:54.402]  You're like a veritable fact factory.
[00:06:54.402 --> 00:06:56.043]  I stay into one in certain areas.
[00:06:56.043 --> 00:07:00.626]  And when you put all that news up, it's absolutely incredible what's going on.
[00:07:00.626 --> 00:07:01.387]  But when you look back
[00:07:02.040 --> 00:07:05.981]  Yeah, let's be clear.
[00:07:05.981 --> 00:07:20.505]  I mean, you're giving us the background right now, but let's, and we'll go into all that, because it's mainstream news about drug dealing and money laundering and, I mean, folks, Bill Clinton pardons
[00:07:21.545 --> 00:07:23.947]  Giant coke dealers, you know, giving money in the White House.
[00:07:23.947 --> 00:07:25.148]  I mean, it's public.
[00:07:25.148 --> 00:07:26.428]  But I mean, all of this goes on.
[00:07:26.428 --> 00:07:28.250]  I mean, our government deals with drugs.
[00:07:28.250 --> 00:07:31.872]  The Bushes are the biggest crime family in America, you know, that we publicly know about.
[00:07:31.872 --> 00:07:35.655]  I mean, they are a crime family for 60 years, 70 years.
[00:07:35.655 --> 00:07:39.978]  But I mean, I want to go back, though, just in a nutshell, the big story is
[00:07:41.279 --> 00:07:44.781]  We know there's criminal grand juries looking at the Valerie Plame issue.
[00:07:44.781 --> 00:07:45.801]  That's admitted.
[00:07:45.801 --> 00:07:48.683]  But then you get intel from sources.
[00:07:48.683 --> 00:07:50.124]  Tell us about those sources.
[00:07:50.124 --> 00:07:51.365]  Tell us specifically.
[00:07:51.365 --> 00:07:57.569]  I have specifically been talking to a fellow by the name of Tom Hennigan from California.
[00:07:57.569 --> 00:08:07.035]  Tom is a broker by trade and he also has sources within intelligence and you know as many of the, if you look at the whole intelligence
[00:08:07.956 --> 00:08:08.336]  I don't know.
[00:08:27.854 --> 00:08:32.138]  I'm going to have to stop you for a second.
[00:08:32.138 --> 00:08:36.581]  No one said that he was.
[00:08:36.581 --> 00:08:46.449]  You moved on after you talked about him and you said many members who were involved in the stock market, you said intelligence.
[00:08:49.395 --> 00:08:51.056]  He's not intelligence.
[00:08:51.056 --> 00:08:54.296]  You talked about a broker, then you talked about intelligence.
[00:08:54.296 --> 00:08:55.477]  Yes, many of them.
[00:08:55.477 --> 00:09:06.920]  And then I said intelligence is in it to make money and in some cases with the PROMIS software to track and trace what different groups are doing.
[00:09:06.920 --> 00:09:07.980]  Right, there you go.
[00:09:07.980 --> 00:09:09.681]  We'll make sure we get that right.
[00:09:09.681 --> 00:09:13.142]  But what I've been told too is that there are many
[00:09:13.894 --> 00:09:39.600]  Thousands of intelligence people who are absolutely fed up with what is going on from going back to the China Missile codes and all that kind of thing up to the 9-11 and now with the issues of the plane Investigation it was kind of almost like a straw that broke the camel's back Because the plane issue there are individuals that are linked to her She was involved in some deep intelligence work the way I understand it at one time and there are people linked to her and of course you have people getting
[00:09:41.139 --> 00:09:47.181]  You know, murdered or whatever over the links that get discovered in something like this.
[00:09:47.181 --> 00:09:52.903]  So, there are a series of issues going on and there are a lot of people in intelligence that are handing over evidence.
[00:09:52.903 --> 00:09:57.885]  And I don't know about the witness situation, but evidence and documents are coming forward.
[00:09:57.885 --> 00:09:58.725]  And they're getting sent.
