[00:00:01.533 --> 00:00:02.617]  I don't know.
[00:00:05.649 --> 00:00:06.289]  Big Brother.
[00:00:06.949 --> 00:00:07.989]  Mainstream media.
[00:00:08.710 --> 00:00:09.850]  Government cover-ups.
[00:00:10.470 --> 00:00:11.310]  You want answers?
[00:00:12.050 --> 00:00:12.950]  Well, so does he.
[00:00:13.631 --> 00:00:17.591]  He's Alex Jones on the GCN Radio Network.
[00:00:17.791 --> 00:00:21.912]  And now, live from Austin, Texas, Alex Jones.
[00:00:22.652 --> 00:00:30.314]  We've almost blasted through the entire month of September.
[00:00:30.374 --> 00:00:31.314]  Only three days left.
[00:00:34.443 --> 00:00:39.068]  Welcome, my friends, to the 27th day of September 2005.
[00:00:39.408 --> 00:00:49.538]  We're going to be here live for the next three hours defending liberty, resisting tyranny, engaging in what I call Real Talk Radio.
[00:00:50.333 --> 00:00:58.219]  Real issues of real significance that actually affect you and your family Monday through Friday from 11 a.m.
[00:00:58.239 --> 00:00:59.599]  until 2 p.m.
[00:01:00.060 --> 00:01:04.943]  Central Standard Time back from 9 to midnight Central Standard Time.
[00:01:06.144 --> 00:01:07.705]  He's gotten a lot of attention.
[00:01:07.745 --> 00:01:15.931]  He's Scott Stevens, the meteorologist who worked for the last nine years at a TV station up in Idaho.
[00:01:17.170 --> 00:01:21.953]  Talking about evidence of weather manipulation, weather modification.
[00:01:22.914 --> 00:01:25.536]  And I agree with Mr. Stevens that this is going on.
[00:01:25.596 --> 00:01:27.177]  I mean, we have Congress admitting it.
[00:01:27.217 --> 00:01:29.478]  We have bills introduced discussing it.
[00:01:31.139 --> 00:01:33.101]  We have defense secretaries talking about it.
[00:01:33.141 --> 00:01:36.703]  We have the Russians that you can hire to come clear your skies.
[00:01:37.524 --> 00:01:40.786]  But I do disagree with him on who is behind it.
[00:01:41.826 --> 00:01:42.667]  He believes that
[00:01:44.255 --> 00:01:48.538]  The Japanese Mafia has leased it from the Ruskies.
[00:01:49.478 --> 00:01:56.683]  And of course that all comes from Colonel Bearden's info, and I want to get Colonel Bearden on here in the near future to find out where he's getting this information.
[00:01:56.743 --> 00:02:00.265]  But it doesn't fit in with the intel and the information I have.
[00:02:02.066 --> 00:02:05.928]  So, Scott Stevens joining us in 28 minutes.
[00:02:06.089 --> 00:02:09.951]  And then in the second hour, Aaron Zellman.
[00:02:11.520 --> 00:02:28.151]  Of Jews for the Preservation of Firearms Ownership, the founder and chairman will be joining us to go over some of the nightmare activities concerning gun confiscation and BATF frame-ups of gun owners all over the United States.
[00:02:30.873 --> 00:02:40.380]  All of this going on before, during, and now after the vicious gun grabbing that went on under federal control in New Orleans and surrounding parishes.
[00:02:41.559 --> 00:02:54.807]  He also has a national organization, Citizens Against Police States, that does a lot of great work, and we'll talk about the end of Posse Comitatus and how Bush has crossed the Rubicon, literally bringing his troops into Rome.
[00:02:56.448 --> 00:03:02.091]  So, that's coming up in the next hour, and we're going to have wide-open phones throughout the day.
[00:03:02.151 --> 00:03:05.453]  In fact, we'll take calls even before Mr. Stevens joins us.
[00:03:05.473 --> 00:03:05.533]  1-800-259-9231
[00:03:11.630 --> 00:03:18.714]  1-800-259-9231 and we'll get you up and on the air.
[00:03:20.155 --> 00:03:25.838]  Judge rejects lawmaker's immunity claim on DUI charge.
[00:03:25.918 --> 00:03:30.821]  Now, the story isn't that this guy said he had immunity.
[00:03:31.681 --> 00:03:39.866]  The story is that they think they really have this and that so many times this claim works for them and so he tried it in court.
[00:03:41.543 --> 00:03:45.786]  This guy is caught careening around so drunk he could hardly walk.
[00:03:46.527 --> 00:03:50.230]  The police take him into jail, a danger to himself and society.
[00:03:50.250 --> 00:03:52.231]  And rightfully so.
[00:03:52.271 --> 00:03:55.053]  I mean, if you're careening about totally drunk, you should go to jail.
[00:03:55.774 --> 00:03:57.715]  And he got up there and said, look, I'm a lawmaker.
[00:03:57.755 --> 00:03:58.536]  I'm above the law.
[00:03:58.556 --> 00:04:00.877]  And that judge said, what planet are you from?
[00:04:01.458 --> 00:04:08.543]  Well, if you listen to Alberto Gonzalez, the chief lawyer for Bush and now attorney general, Bush is above the law.
[00:04:09.398 --> 00:04:10.719]  It's totally asinine.
[00:04:10.799 --> 00:04:12.401]  It's as phony as a $3 bill.
[00:04:13.181 --> 00:04:14.722]  But some people are buying it.
[00:04:16.284 --> 00:04:18.425]  The Pentagon is buying it, going, Yes, sir.
[00:04:18.506 --> 00:04:19.326]  We follow orders.
[00:04:19.386 --> 00:04:20.067]  Yes, sir.
[00:04:20.767 --> 00:04:22.229]  We'll take their guns, sir.
[00:04:22.389 --> 00:04:22.989]  Yes, sir.
[00:04:23.069 --> 00:04:23.810]  You're God.
[00:04:23.870 --> 00:04:24.731]  You're our emperor.
[00:04:25.251 --> 00:04:28.614]  Caesar literally is saying, Will you go into Rome?
[00:04:28.994 --> 00:04:30.936]  Will you take it over for me?
[00:04:31.576 --> 00:04:33.778]  They're going, Yes, Lord Caesar.
[00:04:33.818 --> 00:04:37.081]  We will do as thou wilt, O God Emperor.
[00:04:38.092 --> 00:04:57.859]  Supreme Maker, Lawgiver, Messianic Lord and Savior, King George the Second, Royal Imperium, 43 in the line of Eld, we salute thee, Grand Supreme Cyclopsian Overlord!
[00:05:01.235 --> 00:05:08.078]  Hey folks, Alex Jones here, and I'm very excited to announce the release of my bombshell documentary film, 9-1-1, The Road to Tyranny, on DVD.
[00:05:08.398 --> 00:05:09.778]  That's right folks, DVD.
[00:05:09.958 --> 00:05:12.159]  The original film was 144 minutes long.
[00:05:12.319 --> 00:05:14.400]  The DVD version is 170 minutes.
[00:05:14.680 --> 00:05:19.622]  If you want to wake up your friends and families to the truth of what happened on September 11th, this is the film for you.
[00:05:19.942 --> 00:05:23.984]  The Road to Tyranny is already sending shockwaves through Washington and across the United States.
[00:05:24.224 --> 00:05:26.005]  You absolutely must see this DVD.
[00:05:26.085 --> 00:05:36.731]  It covers the history of government-sponsored terrorism, the police state and homeland security, the nightmare UN population control programs, the cashless society control grid, satellite tracking and plannable microchips, and much, much more.
[00:05:36.872 --> 00:05:38.773]  Bottom line, this film is waking people up.
[00:05:38.993 --> 00:05:42.875]  Order your copy on VHS or DVD today and man the guns of the Infowar.
[00:05:42.955 --> 00:05:44.516]  Order right now by calling 1-888-2533-139.
[00:05:44.536 --> 00:05:45.096]  That's 888-2533-139.
[00:05:51.320 --> 00:05:56.010]  Or order online at Infowars.com or Infowars.net Again, that number, 888-253-3139.
[00:06:01.050 --> 00:06:03.933]  Are terrorist cells or prime terror targets located near you?
[00:06:04.293 --> 00:06:07.156]  Where are military bases and hazardous waste sites located?
[00:06:07.396 --> 00:06:13.601]  How do you find the best area for solar, average rainfall, fish contamination advisories, and major transportation routes?
[00:06:13.982 --> 00:06:21.288]  In the new interactive CD book, Prudent Places USA, you will find the information you want with over 50 interactive parameters that you control.
[00:06:21.468 --> 00:06:25.552]  Find everything from housing prices and taxes to brewing environmental catastrophes.
[00:06:25.832 --> 00:06:31.354]  Locate billion-dollar disaster-prone areas, the safest cities, ideal solar locations, and much, much more.
[00:06:31.574 --> 00:06:44.698]  Complete with over 3 gigabytes of detailed information on each of the 3,000-plus counties in the U.S., including 550 high-resolution, full-color maps and full-color photographs, as well as detailed information and analysis that you need.
[00:06:44.878 --> 00:06:53.481]  Get this hard-to-find information by ordering Fruit and Places USA now for only $29, plus shipping and handling, by calling New Millennium at 888-7000.
[00:06:54.241 --> 00:06:54.701]  We're good to go.
[00:07:16.834 --> 00:07:18.175]  Subscribe now to the Nationalist Times.
[00:07:18.215 --> 00:07:19.095]  Just $19 for one year.
[00:07:39.025 --> 00:07:40.767]  That's 50% off the regular price.
[00:07:41.147 --> 00:07:44.531]  Send for your $19 subscription to The Nationalist Times, P.O.
[00:07:44.571 --> 00:07:47.154]  Box 426, Allison Park, Pennsylvania 15101.
[00:07:48.916 --> 00:07:50.938]  That's The Nationalist Times, P.O.
[00:07:50.998 --> 00:07:53.060]  Box 426, Allison Park, Pennsylvania 15101.
[00:07:54.862 --> 00:07:58.887]  Or subscribe online at our website, www.anu.org.
[00:08:02.083 --> 00:08:07.685]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:07.785 --> 00:08:24.631]  All right, Scott Stevens of Weather Wars, the meteorologist, joining us, coming up here in about 22 minutes.
[00:08:25.351 --> 00:08:30.093]  Then we have the head of JPFO, Jews Preservation of Farms Ownership,
[00:08:30.703 --> 00:08:51.799]  Joining us in the second hour to catalog all the attacks on the Second Amendment that are legion that are being prosecuted against the free people, the good people of this nation, by the criminal police military forces controlled by the private global corporate interests that have now seized control completely of the federal government and most state and local governments.
[00:08:52.479 --> 00:08:59.064]  As we continue as your wartime broadcasters to give you the latest developments inside the New World Order.
[00:09:00.495 --> 00:09:05.358]  All right, we have a detailed report, part one, put out by Steve Watson about the end of Posse Comitatus.
[00:09:05.818 --> 00:09:07.339]  They're really striking now.
[00:09:07.880 --> 00:09:20.648]  They're really pushing right now, forging this abomination in the pits of Congress, in the furnaces of Congress, this implement, this battering ram to smash through our liberties and freedoms.
[00:09:22.857 --> 00:09:30.801]  And at the same time, there's an article here that illustrates the arrogance of power, the ascendancy of tyranny, just the out-of-control behavior.
[00:09:32.422 --> 00:09:37.184]  Judge rejects lawmaker's immunity claim on DUI charge.
[00:09:38.044 --> 00:09:40.165]  This is out of the Atlanta Journal-Constitution.
[00:09:40.565 --> 00:09:43.327]  It's up on InfoWars.com right now.
