[00:00:07.023 --> 00:00:08.104]  Mainstream media.
[00:00:08.804 --> 00:00:09.964]  Government cover-ups.
[00:00:10.565 --> 00:00:11.385]  You want answers?
[00:00:12.145 --> 00:00:13.106]  Well, so does he.
[00:00:13.686 --> 00:00:17.328]  He's Alex Jones on the GCN Radio Network.
[00:00:17.868 --> 00:00:22.010]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.671 --> 00:00:33.356]  Well, there are about a thousand different very important facets to Hurricane Katrina's aftermath.
[00:00:33.456 --> 00:00:36.077]  As gas prices in some areas of the country
[00:00:36.801 --> 00:00:37.822]  Go above $6.
[00:00:40.663 --> 00:00:43.004]  Last night it was getting near $6.
[00:00:43.064 --> 00:00:47.526]  Now it's above $6 in some areas of Atlanta, Georgia.
[00:00:49.187 --> 00:00:52.888]  And day one when the hurricane hit, gas prices went up.
[00:00:53.869 --> 00:01:01.572]  And yes, ladies and gentlemen, it is, part of it at least, price gouging by some of the sellers.
[00:01:01.812 --> 00:01:03.353]  At least it was the first few days.
[00:01:03.853 --> 00:01:04.854]  The retail sellers.
[00:01:06.065 --> 00:01:15.712]  But now it's predominantly gouging by the oil companies themselves, who have been raping the living daylights out of us for the last two years.
[00:01:15.812 --> 00:01:23.798]  I mean, oil prices had already doubled in the last two years from what their price was.
[00:01:24.338 --> 00:01:28.461]  And now we may even see a doubling of that doubling.
[00:01:29.270 --> 00:01:42.739]  Overnight because of Katrina, and you watch, long after they get things stabilized and the bottlenecks repaired, long after that happens, it'll never drop down to even the all-time high of a week ago.
[00:01:44.500 --> 00:01:49.243]  Training us that we've got to pay exorbitant prices for fuel.
[00:01:49.884 --> 00:01:51.465]  Incrementally ratcheting it up.
[00:01:52.025 --> 00:01:54.547]  You know, for many years, ten years now,
[00:01:55.632 --> 00:02:09.885]  Every year I interview Jim Tucker from American Free Press, who for 26 years has been sneaking into the Bilderberg Group that holds its different elitist meetings in different areas of Europe each year.
[00:02:10.766 --> 00:02:12.387]  Every once in a while here in the U.S.
[00:02:12.948 --> 00:02:19.013]  And royalty and the heads of all the big banks and prime ministers go.
[00:02:19.073 --> 00:02:21.936]  It's a who's who of the elite getting together.
[00:02:22.933 --> 00:02:30.257]  And a year before the wall fell and East and West Germany merged, Tucker said, oh, they're planning to bring down the wall.
[00:02:30.337 --> 00:02:31.377]  It's going to be staged.
[00:02:32.398 --> 00:02:33.939]  And that indeed happened a year later.
[00:02:33.959 --> 00:02:45.165]  I mean, he's made literally dozens and dozens and dozens of predictions off of what his spies or the documents he's able to steal, in his own words, show.
[00:02:47.206 --> 00:02:49.467]  And we had him on about four or five months ago.
[00:02:50.447 --> 00:02:55.531]  Fresh back from the Bilderberg Group meeting over in Europe, and he said, Henry Kissinger was quite pleased.
[00:02:56.552 --> 00:03:05.578]  We will be paying $150 a barrel for oil.
[00:03:05.678 --> 00:03:08.961]  $150 a barrel for oil within a year.
[00:03:10.202 --> 00:03:18.488]  And I said, Jim, I sure hope that Kissinger's wrong, but since these are the people that actually run the planet, we'll probably be paying
[00:03:19.900 --> 00:03:21.481]  150 bucks a barrel.
[00:03:22.681 --> 00:03:31.365]  And 150 bucks a barrel will be about $9 to $10 when it's translated down at the pump.
[00:03:32.946 --> 00:03:36.567]  So enjoy your $10 a gallon fuel.
[00:03:36.767 --> 00:03:39.168]  And of course they will tell you that there's no inflation.
[00:03:39.709 --> 00:03:43.010]  Anyone that says it is probably trying to aid Al-Qaeda.
[00:03:44.471 --> 00:03:47.752]  You know, we've had the State Department just absolutely savage us
[00:03:48.636 --> 00:03:50.677]  Savage the conspiracy websites.
[00:03:51.617 --> 00:03:53.738]  They say that we're out of control.
[00:03:53.758 --> 00:04:03.601]  We say that China kills dissidents and harvests their organs and that there's no WMDs and just insane stuff on their website.
[00:04:04.101 --> 00:04:09.463]  Meanwhile, the State Department's own website says that China kills dissidents and sells their organs.
[00:04:09.503 --> 00:04:14.485]  So, they're even contradicting their own website now in their fervor to try to discredit us.
[00:04:15.145 --> 00:04:17.866]  And we have a detailed article on that up on
[00:04:19.215 --> 00:04:22.696]  PrisonPlanet.com and InfoWars.com right now.
[00:04:23.096 --> 00:04:34.678]  When we get back, we will go over just the deteriorating, the rapidly deteriorating situation in the Gulf.
[00:04:36.339 --> 00:04:39.319]  We got the blues down in the Gulf, my friends.
[00:04:41.000 --> 00:04:42.260]  We'll be right back.
[00:04:44.481 --> 00:04:45.921]  Talk about that muddy river.
[00:04:47.313 --> 00:04:49.215]  That has now become New Orleans.
[00:04:51.198 --> 00:04:52.299]  Under many feet of water.
[00:04:53.240 --> 00:04:54.001]  Like Atlantis.
[00:05:01.388 --> 00:05:02.910]  Hey folks, Alex Jones here.
[00:05:03.070 --> 00:05:06.173]  And the behavior of our police is a reflection of our government.
[00:05:06.293 --> 00:05:10.197]  One look in the mirror and we know our country is entering a high-tech police state.
[00:05:10.257 --> 00:05:14.481]  Here's just a sample from my documentary film, Police State 2 The Takeover.
[00:05:14.841 --> 00:05:18.625]  In downtown Seattle today, the First Amendment ended.
[00:05:18.685 --> 00:05:20.607]  The civil emergency was created by the police.
[00:05:20.747 --> 00:05:24.050]  Riot police attacked people on the streets indiscriminately.
[00:05:24.091 --> 00:05:25.172]  The medical bills!
[00:05:26.012 --> 00:05:28.815]  Are going to be enormous for me.
[00:05:28.955 --> 00:05:31.998]  You see them here with their hands cupped behind their backs.
[00:05:32.178 --> 00:05:35.060]  They are being let into the Sandpoint Brig.
[00:05:35.521 --> 00:05:41.646]  The neighbors in that area of Sandpoint Naval Air Station were shocked to hear that the old brig was being reopened.
[00:05:42.166 --> 00:05:45.949]  This information is absolutely vital for all freedom lovers in the United States.
[00:05:46.369 --> 00:05:47.730]  Order your video today.
[00:05:48.070 --> 00:05:49.131]  Call toll free at 888-253-3139.
[00:05:49.151 --> 00:05:51.472]  The number to order to take over again is 888-253-3139.
[00:05:51.492 --> 00:05:52.733]  Or go to my website, InfoWars.com.
[00:06:00.911 --> 00:06:09.537]  Berkey Water Filters are the ultimate filters used worldwide for normal or hostile filtration environments to provide the most delicious, sparkling, clean water possible.
[00:06:09.757 --> 00:06:21.025]  The Berkey Light's self-sterilizing filter elements remove pathogenic bacteria, cysts, parasites, chemicals, and they reduce lead, mercury, aluminum, nitrate, salt for odors, foul tastes, and much, much more.
[00:06:21.245 --> 00:06:23.907]  Yet, they leave in the nutritional minerals that your body needs.
[00:06:24.247 --> 00:06:28.350]  The Berkey Light has ridges to deflect water if the upper chamber is overfilled
[00:06:28.550 --> 00:06:30.691]  And it can be used anywhere on a flat surface.
[00:06:30.851 --> 00:06:32.711]  That's because it has an elevated base.
[00:06:32.911 --> 00:06:38.933]  The entire system joins together to make the Berkey Light convenient to transport even while it's filtering water.
[00:06:39.193 --> 00:06:44.795]  It's rechargeable bright white LED lamps allow for optimum use at night or during emergency conditions.
[00:06:45.195 --> 00:06:49.120]  Get the Bricky Light, the ultimate filter for only $259 by calling New Millennium at 888-803-4438.
[00:06:49.140 --> 00:06:49.840]  That's toll-free, 888-803-4438.
[00:06:49.860 --> 00:06:50.561]  Not yet available in Iowa.
