[00:00:00.209 --> 00:00:01.629]  ...and cover us.
[00:00:01.629 --> 00:00:03.230]  You want answers?
[00:00:03.230 --> 00:00:04.790]  Well, so does he.
[00:00:04.790 --> 00:00:08.972]  He's Alex Jones on the GCN Radio Network.
[00:00:08.972 --> 00:00:17.074]  And now, live from Austin, Texas, Alex Jones.
[00:00:17.074 --> 00:00:27.417]  I have the distinction of being attacked by the New York Times, the Washington Post, ABC News,
[00:00:28.254 --> 00:00:49.064]  The ADL, the Southern Poverty Law Center, the New American Neocon Fake Patriot Magazine, American Legion, Vanity Fair, Popular Mechanics, the list goes on and on and they're all establishment lackeys.
[00:00:49.064 --> 00:00:54.507]  They're there to defend this corrupt system that feeds upon our innocent population.
[00:00:57.975 --> 00:01:03.360]  We know that the government has basically bought and paid for the controlled media.
[00:01:03.360 --> 00:01:19.976]  We know that thousands of reporters have been paid in cold hard cash to lie and twist and push an agenda of control across the board from toll road cameras to the faith-based initiatives to pay off the churches and federalize them
[00:01:21.710 --> 00:01:32.936]  To, of course, subjects like No Child Left Behind, to Federalized Control of Your Children, to the New Freedom Initiative, to Force Psychologically Test and Force Drug, or to promote the National ID Card.
[00:01:32.936 --> 00:01:45.503]  But tens of thousands of other reporters are just useful idiots that parrot the establishment line, that actually believe the propaganda they're spewing.
[00:01:45.503 --> 00:01:46.804]  But they've got a problem.
[00:01:46.804 --> 00:01:50.386]  The Dallas Morning News, one of the biggest papers in the country last week reported,
[00:01:50.982 --> 00:02:06.196]  In the last year alone, a 13% decrease in its circulation, and they're on the verge of being indicted now by the District Attorney, according to Texas Television and Newspaper reports, for lying about their circulation.
[00:02:06.196 --> 00:02:09.019]  It looks like it's worse than that.
[00:02:09.019 --> 00:02:13.483]  Major papers in the last decade have lost over 60% of their circulation.
[00:02:16.405 --> 00:02:21.628]  Broadcast TV and even cable TV has lost about 45% of its viewers.
[00:02:21.628 --> 00:02:23.649]  And it's accelerating.
[00:02:23.649 --> 00:02:34.575]  While at the same time, websites like Infowars.com receive millions and millions and millions and millions and millions.
[00:02:34.575 --> 00:02:39.958]  I don't know, all four sites combined, it's something like 10-15 million a month, depending on what month.
[00:02:39.958 --> 00:02:45.321]  And I'm one of the smaller sites compared to some of the others that are out there.
[00:02:47.558 --> 00:02:56.404]  Unfortunately, we've seen some of these sites being bought, being taken control of, and suddenly spewing neocon or controlled liberal paradigm propaganda.
[00:02:56.404 --> 00:03:03.789]  But the readers instantly recognize it and shift to the other tiers of sites.
[00:03:03.789 --> 00:03:06.231]  You're losing New World Order and you know it.
[00:03:06.231 --> 00:03:08.572]  That's why you're carrying out terror attacks.
[00:03:08.572 --> 00:03:11.114]  That's why you're trying to put up your control grid.
[00:03:11.114 --> 00:03:12.155]  Your time is running out.
[00:03:14.048 --> 00:03:21.792]  But I don't know if William F. Jasper at the New American is a neocon government agent or if he's a useful idiot.
[00:03:21.792 --> 00:03:35.960]  I tend to think he's a useful idiot because I was an urban warrior in 1999 as thousands of Marines and foreign troops practiced taking over the city, practiced gun confiscations, and there I was on a hill overlooking thousands of troops
[00:03:37.020 --> 00:03:54.945]  Just 50 yards from the troops doing mock gun confiscations, and I look to my right, and there's William F. Jasper, who's just written a savage, hateful, uh, larcenous hit piece on myself, mirroring, uh, basically parroting the popular mechanics of this info.
[00:03:54.945 --> 00:03:56.425]  Uh, government op.
[00:03:56.425 --> 00:03:58.486]  I mean, we've now got enough evidence to prove that's a government op.
[00:03:59.835 --> 00:04:03.719]  And I walked over to him, he had a backpack, and I said, you know, he was on the radio today, and I was covering this.
[00:04:03.719 --> 00:04:09.884]  Here's the Associated Press from a few months ago, where Delta Force tried to bribe the San Antonio Police Chief.
[00:04:09.884 --> 00:04:11.605]  I have the video of it.
[00:04:11.605 --> 00:04:18.351]  And, uh, tried to, uh, run their urban warfare drills there with black helicopters.
[00:04:18.351 --> 00:04:21.074]  And he said, thank you, and took it.
[00:04:21.074 --> 00:04:25.538]  And, of course, they'd written articles denying black helicopters existed, saying it was a conspiracy theory.
[00:04:25.538 --> 00:04:26.819]  All they are is special forces
[00:04:28.012 --> 00:04:32.354]  Black budget, black-off operation, telecom folks.
[00:04:32.354 --> 00:04:37.397]  And a month later I opened up the New American and there was the exact AP article.
[00:04:37.397 --> 00:04:44.920]  So when I was able to deliver the proof, the admissions, to his hands it was in their newspaper, in their magazine.
[00:04:44.920 --> 00:04:47.722]  So maybe they're just ignorant.
[00:04:47.722 --> 00:04:51.504]  I know Popular Mechanics isn't though.
[00:04:51.504 --> 00:04:54.225]  Perhaps this academic, this researcher,
[00:04:55.925 --> 00:04:59.268]  Who I've got to say has done a ridiculous job of attacking me.
[00:04:59.268 --> 00:05:02.630]  I mean, it really has got so many holes in it, it's worse than Swiss cheese.
[00:05:02.630 --> 00:05:05.332]  John Sanders, maybe he's just ignorant.
[00:05:05.332 --> 00:05:11.337]  John Sanders is a policy analyst at the Proch Center for Higher Education Policy.
[00:05:11.337 --> 00:05:15.139]  Also part of the John Locke Foundation, when I called, that's who answered.
[00:05:15.139 --> 00:05:19.923]  He researches and writes about public policy issues affecting colleges, universities in North Carolina and across the country.
[00:05:21.013 --> 00:05:26.736]  And I believe I interviewed him about three or four years ago, and I agree with some of his analysis of other activities at colleges.
[00:05:26.736 --> 00:05:36.301]  I agree that there is academic tyranny and that people aren't being allowed to have their free speech if they're conservative, and I defend everyone's free speech.
[00:05:36.301 --> 00:05:42.384]  But his hit piece is just the most ridiculous I've seen to date.
[00:05:42.384 --> 00:05:45.406]  And again, he'll be joining us coming up in the middle of the next hour.
[00:05:45.406 --> 00:05:47.367]  Paul Watson joins us in 15 minutes.
[00:05:51.721 --> 00:05:55.062]  But first off, let's just go into the news.
[00:05:55.062 --> 00:05:57.684]  FEMA inspectors included criminals.
[00:05:57.684 --> 00:06:03.146]  Agency relied on them for honest reports, and this is part of the course.
[00:06:03.146 --> 00:06:20.113]  Across the board, they are peopling in key positions of enforcement government agencies with hardcore criminals, rapists, murderers, top computer hackers, pedophiles, and uh...
[00:06:21.514 --> 00:06:27.057]  Turns out FEMA's got quite a squadron of hardcore criminals working for them.
[00:06:27.057 --> 00:06:32.280]  Meanwhile, they release the hardcore criminals and put them in positions of power, but U.S.
