[00:00:00.149 --> 00:00:02.310]  I appreciate him holding.
[00:00:02.310 --> 00:00:05.410]  We talked about this earlier in the hour.
[00:00:05.410 --> 00:00:08.851]  And John, it's good to have you on with us.
[00:00:08.851 --> 00:00:10.392]  I appreciate you joining us.
[00:00:10.392 --> 00:00:11.672]  It's good to be here.
[00:00:11.672 --> 00:00:12.352]  Thank you.
[00:00:12.352 --> 00:00:18.314]  So tell us about your town and tell us about why the President was coming to town and this phone call you got.
[00:00:18.314 --> 00:00:20.314]  Well, Memphis is Memphis, Tennessee.
[00:00:20.314 --> 00:00:24.235]  We've got a city of a little over a million people.
[00:00:24.235 --> 00:00:25.256]  Great city.
[00:00:25.256 --> 00:00:25.976]  Mid-South.
[00:00:27.498 --> 00:00:31.241]  Wonderful place to be, wonderful place to live right now, but we've got a lot happening here.
[00:00:31.241 --> 00:00:46.893]  The President was coming to Memphis, as he's going to I think 60 cities around the country, trying to promote his social security reform package, the privatization package, personalization, whatever they're calling it this week.
[00:00:46.893 --> 00:00:52.397]  And he was here to speak to people about it.
[00:00:52.397 --> 00:00:53.338]  On Wednesday,
[00:00:54.654 --> 00:00:56.654]  We, uh, we received a phone call.
[00:00:56.654 --> 00:01:02.175]  Now, I need to let you know that my store happens to be about three blocks from a federal courthouse.
[00:01:02.175 --> 00:01:07.636]  So, when someone calls up and says, agents such and such, I'm used to hearing that.
[00:01:07.636 --> 00:01:12.197]  I think that they're just calling because they're running late and they want to pick up a cup of coffee on their way to work.
[00:01:12.197 --> 00:01:14.177]  That's no big surprise to me.
[00:01:14.177 --> 00:01:22.579]  What did surprise me is, although the gentleman that I spoke with was extremely polite, extremely pleasant, um, they were asking that people not put up
[00:01:23.377 --> 00:01:24.958]  Any, uh, any disparaging comments?
[00:01:24.958 --> 00:01:26.600]  Uh, he did, but again, as I, as I said from the beginning,
[00:01:41.250 --> 00:01:43.912]  Yeah, you're not jotting down a name because you're right by a courthouse.
[00:01:43.912 --> 00:01:45.514]  Hey, this is Agent Aaron Gahan.
[00:01:45.514 --> 00:01:47.676]  By the time you focus, he'd already said the name.
[00:01:47.676 --> 00:01:48.357]  Okay.
[00:01:48.357 --> 00:01:48.997]  Right.
[00:01:48.997 --> 00:01:49.218]  Right.
[00:01:49.218 --> 00:01:52.981]  So, again, it's not unusual for me to receive a phone call from somebody.
[00:01:52.981 --> 00:01:56.965]  I have two or three people with badges coming onto my shop every day.
[00:01:56.965 --> 00:01:58.967]  No big deal.
[00:01:58.967 --> 00:02:03.151]  Anyway, he just said that they were calling about security in the area.
[00:02:03.151 --> 00:02:04.553]  Again, I didn't think anything about that.
[00:02:05.819 --> 00:02:06.740]  I've seen people.
[00:02:06.740 --> 00:02:08.201]  I've talked to different people.
[00:02:08.201 --> 00:02:09.521]  We knew what was going on.
[00:02:09.521 --> 00:02:11.643]  There's always an advanced team.
[00:02:11.643 --> 00:02:12.083]  Exactly.
[00:02:12.083 --> 00:02:13.644]  They've been here for a month.
[00:02:13.644 --> 00:02:15.365]  We're used to seeing them.
[00:02:15.365 --> 00:02:20.888]  Or at least knowing that they're not necessarily seeing them, but knowing that they're in the area.
[00:02:20.888 --> 00:02:21.188]  Sure.
[00:02:21.188 --> 00:02:22.749]  So what happened next?
[00:02:22.749 --> 00:02:33.995]  So the guy just said that they were asking that businesses that were going to be here where the President was staying did not have up any signs
[00:02:34.913 --> 00:02:37.875]  Uh, he did say pro or against President Bush.
[00:02:37.875 --> 00:02:40.257]  Okay, the newspaper wasn't clear on that.
[00:02:40.257 --> 00:02:53.905]  Well, um, but the, the essence of it was that it was like, don't have any of, any pro or anti-Bush, and then spoke about anti-Bush sign several times versus mentioning a pro-Bush sign, pro-President Bush sign one time.
[00:02:53.905 --> 00:02:59.729]  Well, when he was governor, let me just stop you, this was in the Dallas Morning News and Houston Chronicle and Statesman, it was in all the big Texas papers.
[00:03:00.265 --> 00:03:04.668]  The radio station I work for, KJFK, I didn't pull this stunt.
[00:03:04.668 --> 00:03:07.529]  A guy named Shannon Burke did.
[00:03:07.529 --> 00:03:14.353]  And literally, you'd have disability groups, pro-life groups, environmental groups, it didn't matter, out there protesting the governor.
[00:03:14.353 --> 00:03:20.197]  And in downtown Austin, it's 11th Street, right there by the Capitol, big, giant, uh, sidewalks.
[00:03:20.197 --> 00:03:22.238]  There's always, you know, I mean, I've lived in this town for
[00:03:23.129 --> 00:03:29.916]  Fifteen years, there's always people down there protesting, whatever governor it is, and they would just come in with paddy wagons and arrest whoever did it.
[00:03:29.916 --> 00:03:33.279]  Well, there were a bunch of lawsuits, and the governor lost those lawsuits.
[00:03:33.279 --> 00:03:38.124]  The state lost a bunch of, uh, just several of the rulings were like $100,000 a piece, so...
[00:03:40.518 --> 00:03:41.598]  They stopped doing it!
[00:03:41.598 --> 00:03:51.523]  But, but, but, the point is, this, but, but, the stunt we pulled, the radio station, we sent down a couple of interns with signs saying, we love Bush.
[00:03:51.523 --> 00:04:07.089]  While another protest was there, this is the middle of the whole thing, in fact I think this stunt pushed it over the edge from winning the lawsuits, they were arresting disabled people in wheelchairs, weren't blocking anything, but didn't arrest the two girls we sent with we love Bush.
[00:04:09.455 --> 00:04:13.017]  Somehow that doesn't surprise me with the current times.
[00:04:13.017 --> 00:04:15.499]  No, you can read that.
[00:04:15.499 --> 00:04:27.106]  Any reporter listening right now, when you talk to reporters... Okay, I'm sorry, I couldn't hear you.
[00:04:27.106 --> 00:04:30.449]  I lost you for a moment.
[00:04:30.449 --> 00:04:33.531]  Okay.
[00:04:33.531 --> 00:04:34.311]  What was I saying?
[00:04:34.311 --> 00:04:36.873]  I was talking about how this had happened and the people were
[00:04:37.492 --> 00:04:53.603]  Coming in and the different things that were said, and in essence, I put up a sign that simply said, we have been informed by a federal agent that we are not to put up any anti-President Bush signs in our storefront windows.
[00:04:53.603 --> 00:04:58.667]  We would instead like to remind the agent that we still have First Amendment rights.
[00:04:58.667 --> 00:05:05.952]  That seems to be the most direct way of confronting the issue and not having a
[00:05:07.031 --> 00:05:12.135]  I'm not having the problem of people saying anything against the President.
[00:05:12.135 --> 00:05:16.538]  I live in a city that is very conscriptive.
[00:05:16.538 --> 00:05:27.405]  Although we did vote for President Bush on a whole as a state, the county that I live in did vote for John Kerry during the last election.
[00:05:27.405 --> 00:05:33.910]  The essence of it though is that when 52% of your public population votes for somebody and 48% against,
[00:05:34.642 --> 00:05:35.642]  You don't want to put up a sign.
[00:05:35.642 --> 00:05:38.683]  You don't want to put up anything that's going to cost you half your customers.
[00:05:38.683 --> 00:05:41.843]  Whether it's for or against, you're going to hurt your business.
[00:05:41.843 --> 00:05:44.584]  Ultimately, I'm a capitalist.
[00:05:44.584 --> 00:05:46.544]  That's the, uh, that's the essence of things.
[00:05:46.544 --> 00:05:47.764]  It's the best thing that I could think.
[00:05:47.764 --> 00:05:50.985]  Dude, that's the best thing that I could come up with.
[00:05:50.985 --> 00:05:54.246]  And I'm, I'm also a veteran.
[00:05:54.246 --> 00:06:00.987]  I've been, I've been in situations and I feel I've earned the right to say that we have First Amendment.
[00:06:01.952 --> 00:06:06.339]  We have our Bill of Rights, we have our First Amendment, and that's what we need to be in life.
[00:06:07.581 --> 00:06:11.882]  Well, John, this only happens a couple times a year, but somebody doesn't like what we're saying.
[00:06:11.882 --> 00:06:28.688]  My dedicated link to the network, I'm down in Texas, they're up in Minnesota, has been terminated somehow, so I'm trying to get reconnected via the digital stereo feed to you, but I'll keep rocking and rolling with you right here over the telephone here from the office.
[00:06:28.688 --> 00:06:30.968]  But, I mean, we see this wanton push.
[00:06:33.762 --> 00:06:44.187]  out there to suppress free speech everywhere systematically just so people don't see images of protesters or people that don't go along with these policies.
[00:06:44.187 --> 00:06:58.434]  I'm sure you've heard of the cases where people, there have been 500 Bush supporters and one person with a sign saying no blood for oil and the Secret Service arrests them and says you're only allowed to go to a free speech zone but the people that are pro-Bush, they're allowed to stay.
[00:06:58.434 --> 00:07:00.295]  They're right in there, exactly.
[00:07:00.834 --> 00:07:05.316]  So that was the case here in Memphis.
[00:07:05.316 --> 00:07:11.959]  The protest zone was four blocks past the route that the President was going to be going.
[00:07:11.959 --> 00:07:20.402]  It was far and away removed from anything having to do with the event.
[00:07:20.402 --> 00:07:25.064]  Well, there are a lot of other big examples of this.
[00:07:26.931 --> 00:07:38.115]  In modern history, with civil rights activists and others, but now they're bringing it back in force and really trying to almost segregate people who are against the President's policies.
[00:07:38.115 --> 00:07:43.797]  You know, Bill Clinton tried a little bit of this, but it was nothing compared to what Bush is getting away with.
[00:07:43.797 --> 00:07:54.080]  You know, my mother saw the new film I produced, Martial Law, while I was in New York for the RNC, where they threatened to arrest us, and we killed 400,000 plus protesters, and she watches the news.
[00:07:54.961 --> 00:07:56.763]  She said, son, none of this was on the news.
[00:07:56.763 --> 00:07:58.285]  These protesters were not on the news.
[00:07:58.285 --> 00:08:00.508]  They didn't show these numbers of people.
[00:08:00.508 --> 00:08:09.459]  So everywhere they're basically covering up the numbers of people that are protesting and where they can't cover it up is where Bush's route is going to be.
[00:08:10.340 --> 00:08:11.862]  I don't even know.
[00:08:11.862 --> 00:08:15.485]  In addition to my coffee shop, I have an office that is a little bit removed from downtown.
[00:08:15.485 --> 00:08:17.186]  I didn't think that big of a deal about the time.
[00:08:39.894 --> 00:08:45.117]  I've sort of fallen into this situation by accident.
[00:08:45.117 --> 00:08:48.760]  They didn't drive past my place that much, I know.
[00:08:48.760 --> 00:08:58.967]  Instead of going down Main, which has trolleys on it and a few other things, they took Front Street and went directly to underground parking.
