[00:00:14.383 --> 00:00:18.367]  Today, I'm pleased to announce members of my science and technology team.
[00:00:18.908 --> 00:00:27.917]  Dr. John Holdren has agreed to serve as Assistant to the President for Science and Technology and Director of the White House Office of Science and Technology Policy.
[00:00:29.810 --> 00:00:34.954]  John P. Holdren is the resident science czar of the Obama White House.
[00:00:34.994 --> 00:00:44.841]  He's the head of the White House Council on Science and Technology, key advisor operating out of the new executive office building in Washington, D.C.
[00:00:45.381 --> 00:00:48.303]  This man is a Malthusian fanatic.
[00:00:48.423 --> 00:00:50.245]  He's a follower of Bentham
[00:00:50.985 --> 00:00:51.625]  We're good to go.
[00:01:12.074 --> 00:01:21.084]  A wacko, except that it's also very sinister, because the implications of his belief structure and his world outlook are genocide.
[00:01:22.866 --> 00:01:29.834]  He is, in particular, an enemy of the traditional American point of view.
[00:01:30.606 --> 00:01:31.907]  We're good to go.
[00:01:52.537 --> 00:01:55.419]  That you can grow your way out of a crisis.
[00:01:55.479 --> 00:02:00.303]  According to Holden, that door has been permanently closed on all of us.
[00:02:00.443 --> 00:02:07.029]  And in particular, he says he hates the moonshot mentality of the average American.
[00:02:07.089 --> 00:02:20.820]  And that is to say, with the right kind of national mobilization, technology, and political will, you can do just about anything, including putting a man on the moon, or putting other people out into space.
[00:02:22.461 --> 00:02:26.524]  Holdren is anti-American in this deep way.
[00:02:26.664 --> 00:02:30.827]  He is a pessimist, culturally and historically.
[00:02:30.887 --> 00:02:34.649]  He calls himself a neo-Malthusianism.
[00:02:35.130 --> 00:02:44.376]  Now, the heart of his outlook is what he calls, well, he says that population is the root of all human problems.
[00:02:45.057 --> 00:02:46.458]  In other words, people pollute.
[00:02:47.258 --> 00:02:49.300]  Humanity is a cancer.
[00:02:50.091 --> 00:02:51.492]  on the face of the earth.
[00:02:52.353 --> 00:02:57.397]  The one big problem in the ecosystem is the role of humankind.
[00:02:57.437 --> 00:03:04.723]  And of course, in reality, the existing ecosystem could not survive without the constant contributions of human production.
[00:03:04.763 --> 00:03:06.825]  It's very easy to show that.
[00:03:07.945 --> 00:03:19.175]  Holdren started off in the 1970s with Paul Ehrlich, who was a charlatan and an obscurantist and a crackpot who wrote the book The Population Bomb.
[00:03:20.135 --> 00:03:29.698]  Ehrlich was convinced that world population was growing out of control and that this is going to lead to a breakdown of human civilization sometime in the late 20th century.
[00:03:29.718 --> 00:03:36.661]  And it goes together with the campaign of the Limits of Growth, the Club of Rome, Aurelio Pichet, and the rest of these people.
[00:03:36.701 --> 00:03:41.843]  This is kind of the intellectual milieu that Holdren comes out of.
[00:03:42.223 --> 00:03:44.123]  Now, there was no population bomb.
[00:03:44.483 --> 00:03:45.524]  It's just not true.
[00:03:46.404 --> 00:03:47.164]  It never happened.
[00:03:48.105 --> 00:03:50.605]  Population in Europe is falling.
[00:03:51.206 --> 00:03:55.007]  If you just look at the self-renewal of these populations.
[00:03:55.447 --> 00:03:56.607]  Same thing in Japan.
[00:03:57.047 --> 00:03:57.928]  Same thing in Russia.
[00:03:57.968 --> 00:04:02.029]  They've all got a demographic problem which has nothing to do with overpopulation.
[00:04:02.389 --> 00:04:04.149]  It has to do with shrinking population.
[00:04:04.510 --> 00:04:11.952]  China has demographic problems that were caused by going along with this two-child-per-family policy.
[00:04:12.732 --> 00:04:13.372]  The U.S.
[00:04:13.593 --> 00:04:19.635]  would be experiencing demographic decline if it weren't for the flow of immigrants into the country.
[00:04:19.675 --> 00:04:29.160]  So, there never was a population bomb, but Holdren does not revise or change his pseudo-scientific outlook because of this.
[00:04:30.933 --> 00:04:32.873]  Population is the problem.
[00:04:32.913 --> 00:04:43.336]  Now, he looks around the world, writing in the early 1970s in one of his textbooks, and he says, some countries have so much population that they ought to be triaged.
[00:04:43.356 --> 00:04:49.357]  We should cut them off, give them no more food aid, no more credit, no more help of any kind.
[00:04:49.417 --> 00:04:50.697]  Well, what are the countries?
[00:04:50.957 --> 00:04:53.338]  He says, India is probably on the list.
[00:04:53.638 --> 00:04:53.998]  India.
